State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,829886,358810,471704,271744,477786,78680,415741,353901,4164,8137,369,24806,20913,63959,381883,135066,163406,112222,36031,791920,35562,181232,648401,54196,154764,296497
Alaska,77833,37657,40000,27705,46131,4163,33330,3919,24495,5837,1632,1209,7377,5464,30968,6879,17901,11199,4027,72375,5838,12591,64818,4192,21551,22523
Arizona,1093027,504815,585793,366233,621549,103200,735758,62972,105021,29184,1981,114838,43237,491807,394070,167015,171660,163795,70617,892483,199991,176185,913624,78668,227015,354527
Arkansas,510929,225265,283872,171264,290290,48079,322806,133867,4636,6132,2428,21736,17618,59153,291866,73456,105044,71543,20164,483480,28052,117826,392905,36383,99227,170859
California,5492259,2505900,2991190,1743598,3200454,537661,3005852,475373,58692,590976,20663,1079710,245952,2872301,1370869,1017974,766576,761713,434310,3832116,1648849,810792,4659248,372964,1149137,1872977
Colorado,589670,270324,322082,167763,368262,54407,451268,40618,10511,19298,1209,38244,27586,203775,303675,67876,87026,98376,64488,511752,80934,103111,486344,42632,169293,171427
Connecticut,347490,152191,196228,100331,207847,41364,202289,66817,1572,12008,295,46920,17706,124436,138681,54259,71846,45507,32669,291015,58116,69933,277536,14098,83031,120406
Delaware,109918,47638,62201,35144,63941,10765,58244,37903,764,3444,30,4274,5347,17902,45992,13180,24942,14533,7438,98798,10974,18924,91099,6825,24480,35609
Florida,2986425,1342933,1639426,869713,1705995,411601,1937792,751242,10179,69043,2961,119068,88491,966462,1153136,442405,625167,448492,251732,2270453,716393,534768,2439238,208277,581971,1000698
Georgia,1603950,701349,907865,564481,904388,136223,707908,721252,8198,42055,1697,76752,47562,235545,567885,244972,289024,205761,93233,1441162,165841,273858,1330420,123919,317998,517336
Hawaii,136979,63341,74379,37535,80811,19325,33042,2630,691,33812,30402,1358,35831,19985,27740,14571,31254,24154,14369,109463,28576,24390,113062,7707,30184,46600
Idaho,228614,105750,123737,73166,133440,22470,194994,3487,5501,3678,684,10935,9299,44495,165083,21126,41331,39071,14038,210201,18720,43161,186118,18548,62480,59336
Illinois,1640550,722473,915290,522246,952571,161039,881716,478565,5063,77243,434,138356,52163,365858,680089,213713,296510,240825,126593,1396945,239970,276655,1358889,101276,364049,540339
Indiana,907440,401084,508028,304947,531286,72012,630973,169200,2706,27087,431,38267,37230,107433,574259,118168,173890,122634,45275,842333,68699,182278,725654,62149,224494,276393
Iowa,354577,156132,197279,101594,217177,34797,279527,34051,2698,12395,896,8340,14418,38746,253430,34580,67360,54370,21004,321796,30376,66784,286089,27384,107683,92489
Kansas,350304,158197,190958,109879,209288,31856,261246,39134,4533,11913,448,14127,19800,69133,211353,37659,59127,53419,21660,314630,36154,69610,281234,28554,95378,94112
Kentucky,770114,343496,428021,241309,457488,72241,623997,97182,2628,10211,586,13673,24683,44014,596479,136033,158382,104626,31043,732561,38435,200401,570068,45635,158802,276919
Louisiana,879130,378948,501006,299277,495495,82614,360441,465734,6170,11934,226,15093,19865,51272,327604,146191,178191,104647,36632,842600,37660,173793,706294,66672,156640,300705
Maine,162124,72181,89616,40420,98896,22129,143659,6075,2768,1571,129,370,6898,4201,140815,19091,42693,26364,12507,153840,7956,47396,114190,8051,42318,52876
Maryland,551033,237451,315667,164257,324332,64737,231122,235814,2055,26529,233,36392,21926,77993,193226,79051,109666,74809,50356,466880,87734,110520,441835,34440,124921,183292
Massachusetts,712148,307149,403944,188911,427713,93746,440829,96346,3108,58020,307,73967,36065,202945,338720,108862,133722,95112,83019,549250,158610,163339,546298,27569,165837,253788
Michigan,1459706,657969,799121,447959,875358,131316,912339,398174,11407,42391,608,27089,67651,110152,837436,176868,280712,233647,82927,1342512,117542,313047,1141234,83876,357973,480104
Minnesota,545767,247314,298698,163807,326728,57589,342854,100302,17251,37245,393,21002,26150,57012,313052,60991,97005,87990,40822,465281,83960,110812,437881,34955,163651,142853
Mississippi,601192,258303,342370,207091,336759,55406,221426,353503,4139,3746,157,7131,10292,21690,208193,96625,112134,83877,21750,587808,12676,125445,474414,41862,98214,218422
Missouri,838821,372140,465447,264096,494422,81178,584569,175350,5229,16630,2015,19875,32185,56313,551762,112008,161949,122892,48140,793124,45983,189884,649012,59685,198027,261515
Montana,139248,65283,73932,36439,87344,15046,108625,889,21919,1357,58,818,5302,7207,103768,11130,28801,25211,10875,135254,3349,27510,111990,11043,42760,36802
Nebraska,214628,93989,119814,68613,124598,20837,160575,23352,5120,7739,285,7336,9184,42672,128058,24120,34635,33644,12780,187462,25951,40191,172813,19260,60250,51479
Nevada,394752,182683,210672,126767,228350,38167,219888,61838,9218,21466,3392,58130,20528,147770,139713,55550,74324,65781,27581,315275,78849,68781,323352,26237,84628,129675
