State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,888207,385229,503726,303486,513359,73344,450039,386691,5345,7742,164,21329,20335,63627,408497,153941,157715,114744,31758,848167,39490,188186,702705,54610,177910,307969
Alaska,71835,34195,37790,25481,43295,3114,31790,3491,22485,4745,1293,955,7159,4176,30113,7016,14238,10318,3422,66014,5519,10800,61106,3228,21192,21215
Arizona,1166866,545275,625819,412842,674594,82779,810870,64275,109064,25674,3236,118932,38771,540858,414110,184734,171212,163372,61279,948472,223101,163547,1003143,74086,242085,397651
Arkansas,549631,244808,304461,193168,311284,44761,355072,147540,4021,4791,2220,18478,16658,61364,316158,83015,107549,69454,17627,515800,32856,116442,432578,37266,112786,178640
California,6120993,2820293,3286832,2059355,3583235,461146,3414820,535446,67028,601855,24369,1213676,265111,3298692,1491822,1170985,792901,796586,407038,4232898,1884995,817642,5311405,370893,1312233,2134550
Colorado,665418,308994,354005,208377,411042,45502,491680,49228,11457,16081,1173,66249,27922,249391,328912,80746,94300,99246,58023,563391,100822,100562,562293,42785,203172,181621
Connecticut,365517,160858,203817,109997,218677,36115,208889,74787,1671,11955,131,51008,16859,127557,146220,56908,72578,46485,29844,308943,57319,67253,297877,15946,86426,128377
Delaware,106979,45547,61881,35002,62512,9736,58072,36484,617,2100,13,5414,4355,18414,47272,16261,20503,12641,6189,96212,10659,17499,89700,5543,24749,35001
Florida,3164018,1443163,1716721,953456,1857418,352227,2027500,841186,13699,62998,1993,127308,89240,970354,1246346,500100,634084,447078,213210,2431186,727753,527138,2627319,196050,654307,1099940
Georgia,1782922,787825,990170,635798,1026510,119726,790829,794098,6859,45224,1353,100557,42456,272740,639552,285649,306825,213726,88518,1582252,199126,286475,1492982,117433,358920,604860
Hawaii,153157,69703,84152,46372,92332,15331,37634,2420,568,35480,30968,2303,44626,21790,33023,16160,31406,26257,13525,123253,30134,26157,127369,8166,34623,53573
Idaho,244667,113517,130393,81836,145273,17581,210427,2162,6116,3972,347,11590,9909,49639,176781,26150,37753,38659,14658,222624,22194,41540,203696,16962,72133,63819
Illinois,1809524,810657,1002268,614369,1053714,140341,968561,543684,6090,75585,351,168771,51073,429370,728215,252551,305086,247127,122300,1533557,277332,277952,1536569,104667,414971,599037
Indiana,983138,438394,546487,344915,577619,61397,686827,183089,3295,23344,506,48205,36351,118302,626962,134298,177372,127613,40244,911739,72241,184828,801838,55522,249168,304456
Iowa,375258,168282,205785,114707,225646,33008,302780,33249,2565,10132,338,9856,15031,40289,277743,37956,67005,56739,18689,346452,27832,68168,305533,25163,115500,95627
Kansas,386338,174547,212139,131918,225704,28245,289688,41021,5241,10806,424,16722,21752,80235,232487,43597,61779,54657,20452,344283,41331,69167,317463,28599,107639,100735
Kentucky,802916,363756,440434,259140,476149,67430,651003,104059,2515,8239,610,14110,24948,43631,622062,149888,155598,101043,27375,767444,36209,202252,600798,44349,167025,288497
Louisiana,876273,374052,500973,305709,498048,71062,353436,472056,6621,13079,179,11779,19109,45573,322739,149713,160618,100043,32411,837486,36075,170552,704507,62830,173394,290185
Maine,179771,80219,99251,48746,111592,19315,161293,6574,2519,1898,62,563,6617,5005,158400,20946,45658,28198,11788,169647,9732,49517,130450,8593,47845,59642
Maryland,574614,246450,327475,175351,342013,56253,234149,255721,2465,28228,294,30429,21328,71308,203574,86809,107889,75491,44297,481791,92949,105283,466662,31210,134246,193880
Massachusetts,745264,320627,420599,209013,449170,83690,463686,99567,3334,53124,180,85884,36933,199180,376625,116658,134293,93047,76078,592112,152840,160974,579579,25683,178083,269428
Michigan,1633798,746596,889588,529360,989010,113668,1021451,462005,13429,35911,356,29659,69806,125269,945106,200844,297130,250683,78357,1514368,122872,327170,1304095,83984,402215,558706
Minnesota,604940,276770,328515,186645,362891,54618,399478,101791,19211,37561,416,19526,29566,62839,359218,69266,104199,94294,38045,525318,81241,114416,490198,34357,187080,160089
Mississippi,652515,281458,372184,235753,365408,53017,242703,385348,3552,4115,121,7811,9583,24704,229313,111728,108835,84948,20701,638496,14701,132781,521735,43736,113908,229095
Missouri,912145,410526,503363,296090,540204,75996,641119,194205,5440,16668,1324,19568,34223,58053,608974,127112,167366,130799,46975,864989,47897,193874,715758,56331,223150,286477
Montana,150201,69812,79882,43567,93854,12727,118679,1062,22867,1143,106,1134,5123,8166,113253,12044,28349,26311,10491,147164,3355,27317,122323,9992,47329,40800
Nebraska,232444,102860,128860,79921,133382,19146,175269,26973,6660,5764,212,8510,8681,46067,142191,27031,35295,34502,12158,203786,28369,39050,191814,18284,68183,53817
