State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,16.7,14.9,18.4,23.9,15.9,10.2,12.3,27,16.9,13.3,25.1,34.3,22.2,29.9,11.7,29.4,15.8,11.1,4.3,16.6,20.2,22.5,15.6,3.6,22,32.9
Alaska,10.7,10.1,11.3,14.8,9.9,5.9,7.2,14.2,24,10.7,20.6,10.1,11.6,10.8,7,20.9,13.4,6.8,2.9,10.8,9.7,15,10.3,1.8,13.7,24.5
Arizona,15.1,14.2,16.1,21.5,14.5,8.9,13.2,20.3,32.9,12.1,16.4,23.3,17.4,21.6,10,26.9,15,10.3,5.1,14.4,20,19.4,14.5,3.6,20,31.6
Arkansas,17,15.5,18.6,23.7,16.3,10.3,14.1,29.3,22.6,12.1,27,27.6,23.2,25.6,13.5,27.1,15.6,12.1,4.7,17,18.3,23.3,15.7,3.9,23.4,34.4
California,13.4,12.3,14.4,18.1,12.3,10.2,12.2,20.5,19.5,10.2,13.3,18.7,12.4,17.7,9.1,21.9,13.8,9.7,4.9,12.8,14.8,19.3,12.7,2.8,15.8,28
Colorado,10.3,9.4,11.2,12.6,10.1,7.4,9.4,17.7,19.5,10.9,13.1,16,13.7,16.2,7.8,20.1,11,8.7,4,9.9,13.9,17.4,9.5,2.1,16.3,25.8
Connecticut,9.9,8.9,10.9,13.3,9.5,7.2,7.6,17.9,17,7.9,11,25.3,15.8,22,5.9,23.9,10.9,7.5,3.5,9.6,11.5,17.9,8.9,1.3,13.1,26.7
Delaware,11.8,10.5,12.9,17.5,11.3,6.6,9,18.6,18.5,10.9,13.1,22.4,19.8,21.5,7.7,20.8,12.3,8.1,3.6,11.6,12.9,16.8,11.1,2.2,16.8,27.6
Florida,14,12.9,15.1,20.1,13.2,10.4,12.1,22,16.6,11.8,17.8,19.1,15.8,17.7,10,25.1,14.5,9.9,5.7,13.4,16.2,19.1,13.3,3.1,18.1,30
Georgia,15.1,13.6,16.5,21.5,13.6,10.2,11.3,21.5,24.7,10.3,25.7,25.8,18.7,22.9,10.1,26.9,15.2,10.4,4.3,15.1,15.1,21.1,14.3,3.5,19.9,30.4
Hawaii,9.4,8.6,10.2,11.9,9,8.1,9.5,9.4,22.9,6.1,20.2,9,10.1,13.6,9,17.7,11.4,7.6,4.3,9.1,10.8,15.6,8.8,1.5,13.3,25
Idaho,13.1,12.2,14,15.8,13.1,8.6,12.3,30.3,24.9,17.2,29.3,20.5,17.5,20.7,11.5,21,13.1,9.9,4.7,12.8,18.5,19.3,12.2,3.4,19.6,27.1
Illinois,12.5,11.2,13.7,17.1,11.7,8.7,9.4,26.1,16.4,10.8,12.6,17.5,16,16.1,8.4,22.5,13,9.6,4.2,12.4,12.9,19.7,11.6,2.4,16.4,29.7
Indiana,13.4,12,14.8,18.5,12.9,7.6,11.2,26.9,17,18.4,14.1,24.8,22.3,22.4,10.7,23.8,11.8,9.3,4,13.1,19.4,20.2,12.4,2.7,20,30.6
Iowa,11.5,10.3,12.6,13.8,11.7,7.1,10.1,31.9,24.5,16.1,31.2,21.1,22.1,20.8,9.5,21.4,10.7,8.1,3.6,11.1,17.9,18.9,10.5,2.4,20.7,31.1
Kansas,12,10.8,13.1,14.9,11.9,7.5,10.4,24.6,19.7,14.1,14.3,20.5,19.8,19.3,9.5,22,12,8.9,3.3,11.6,16.6,18.8,11,2.9,19.9,28.3
Kentucky,17.3,15.6,19,23.5,16.7,11,16,27.8,25.4,14.2,17.9,31.2,26.6,26.8,15.8,32.8,16.2,11.9,4.4,17.2,21.7,25.9,15.5,3.3,22.8,36.8
Louisiana,19.2,17.2,21.2,27.2,17.7,12.8,12.8,31.4,22.8,14.9,19.9,27.7,23.2,23.8,12.2,33.4,17.4,12.7,5.1,19.1,21.2,25.5,18.1,4.6,23.3,36.7
Maine,11.8,10.7,12.8,15.1,11.8,8.7,11.1,34.8,29.1,13,27,12.5,21.7,18.6,11,26.2,13.8,9.1,4.1,11.7,15.3,21.9,9.9,1.7,16.5,32.2
Maryland,9.2,8.2,10.1,12.1,8.5,7.7,6.7,13.3,15.1,7,7.1,14.5,10.9,12.7,6.2,19.5,11.1,7.1,3.1,9.1,9.5,17.2,8.2,1.5,12.8,24.5
Massachusetts,10.3,9.2,11.4,13.2,9.7,9,8.3,18.7,22.3,12.9,12.8,23.8,16.4,24.5,6.9,23.6,11.7,8.5,4,9.6,13.5,20.3,9,1.2,12.9,30.4
Michigan,14.4,13.2,15.5,19.9,14,8.4,11.4,28.9,22.4,13.1,30.2,23.7,23.2,22.2,11,27.9,14.4,10.2,4.2,14.2,16.9,22.1,13.1,2.7,19.7,31.4
Minnesota,9.7,8.8,10.6,12.2,9.3,7.2,7.3,28.6,31.3,13.6,14.5,19.7,16.3,18.6,6.9,23.5,10.6,7.2,3,8.9,17.6,18.3,8.6,1.7,15.2,27.8
Mississippi,20.3,18.2,22.3,28.7,18.8,12.8,12.8,31.6,33.5,13.3,22.1,27.6,25.4,24.9,12.5,31.9,19.5,13.4,5.3,20.3,19.7,26.2,19.2,4.8,24.2,38.5
Missouri,13.7,12.4,14.9,18.7,13.2,8.6,11.7,24.7,22.2,14.2,26.8,27.2,20.1,22.1,11.4,27,13.1,9.8,4,13.5,18.3,21.4,12.4,2.9,20.1,31.8
Montana,13.1,12.3,14,15.8,13.6,8.5,11.6,16.3,32.2,13.3,4.2,16.9,18.8,17.9,11.4,23.7,14,10.3,4.8,13.1,14.4,19.3,12.2,3.3,20.8,30.4
Nebraska,11.1,9.9,12.3,13.9,10.8,7.7,9.6,25,27.7,17.3,26.2,20,19,20.3,8.5,22.1,11,8,3.3,10.5,18.9,18,10.2,2.7,19.1,29.8
Nevada,13.1,12.1,14.1,18.2,12.3,8.9,11,23,23.6,9,16.6,18.8,15,17.1,9.4,19.9,13,9.7,5.6,13.1,13.3,18.4,12.4,2.8,17,29
New Hampshire,7.6,6.8,8.3,9.2,7.6,5.7,7.2,19.8,11.1,9.1,19.3,11.4,11.7,16.4,6.9,18.6,8.6,6,3,7.4,10.4,15.6,6.4,0.9,11.6,24.1
New Jersey,10,9,11,14,8.9,8.3,7.8,17.3,17.1,6.7,25.3,21.3,13.1,17.9,5.9,22.1,11.2,7.5,3.4,9.4,11.8,16.9,9.2,2,11.5,24.2
New Mexico,19.1,17.9,20.3,26.7,18.2,12,16.7,24.2,32.5,9.3,17,25.6,19.7,22.6,11.7,32.8,18.2,13.8,6.2,18.7,23.6,24.2,18.3,4.7,25,35.4
New York,14.1,12.7,15.3,19.6,12.8,11.5,10.4,21.1,23.2,15,22.7,25.1,18.9,22.2,9.3,28,14.6,10.3,4.9,13.5,15.8,23.8,12.8,2.4,16.7,32.6
North Carolina,14.7,13.3,16,21.2,13.8,9.1,11.5,22.5,24.9,10.7,20.5,27.2,20.8,26.4,10.2,27.6,14.7,10.3,4,14.4,17.7,21.1,13.8,3.2,20.3,30.9
North Dakota,10.7,9.8,11.6,11.4,10.8,9.1,8.4,25.7,32.2,18.9,50.1,15.8,17.6,17.7,8.2,22,11.3,7.3,3.4,10.3,18.7,18.6,9.8,2.2,19.8,29.9
Ohio,14,12.7,15.2,19.9,13.4,8.1,11.1,29.6,25.3,13.2,32.9,26,26.1,24.7,10.7,27.2,13.3,10.5,3.8,13.9,17.2,22.5,12.6,2.5,20.2,32.5
Oklahoma,15.7,14.3,17,21.5,15,8.9,13.1,27.5,20.7,15.4,25.3,25.8,20.4,23.7,12.2,26,15.2,10.7,4.3,15.5,19,21.3,14.6,3.8,22.7,32.1
Oregon,13.2,12.2,14.1,16.6,13.5,7.9,12.3,26.3,22.4,13.6,21,17.2,17.9,20.1,11.3,23.1,14,10.9,5.2,12.9,16,20.5,11.9,2.7,19.1,30.7
Pennsylvania,12.4,11.3,13.6,17.6,11.9,8.1,9.7,26,24.6,13.9,24.5,31.4,22,28.1,8.9,24.4,12,9,3.9,12.2,15.8,21.3,11,2.1,17.1,31.1
Rhode Island,12.4,11.3,13.4,17,11.6,9.7,10,22,24.6,15.8,14,25.9,22.4,25.3,8.4,25,12.7,8.9,4.3,11.8,16.3,23.4,10.7,1.7,15,32.8
South Carolina,15.2,13.6,16.7,22.2,14.3,9.4,10.9,24.5,22.4,13.4,23,30.3,22.3,26.2,10.2,28.6,14.9,9.9,4,15.1,17.8,20.9,14.3,3.3,20.8,31.7
South Dakota,13.1,11.8,14.5,17.3,12.6,8.7,8.8,22.9,49.1,18.9,20.1,17.5,23.7,20.3,8.6,27.2,12.7,8.5,3.7,12.9,18.3,20.9,12.1,2.6,21.3,37.3
Tennessee,15.2,13.9,16.5,21.9,14.3,9.4,12.9,24.7,20.8,10.3,27.6,29.1,22.9,26.2,12.2,28.1,15,10,4.2,15.1,18.6,22.5,13.9,3.2,20.7,32.3
Texas,14.7,13.3,16.1,20.9,12.9,10.6,13.8,19.3,17.1,10.2,18.8,21,14.5,20.7,8.4,24.6,13.8,9.2,4.2,14,18.2,20.2,14.1,3.8,19.2,28.4
Utah,9.8,9,10.6,10.9,9.8,6.4,8.6,27.2,27.1,13.3,10.7,18.8,12.1,16.8,7.9,18,9.5,6.9,4.1,9.3,15.1,14.3,9.3,2.5,15.4,20.7
Vermont,10.9,10,11.9,13,11.3,7.6,10.5,25.9,17.7,14.8,6,10.6,17.5,16.7,10.4,24.7,11.4,8.6,4.4,10.8,14.1,19.3,9.5,1.8,17.3,32.1
Virginia,10.6,9.5,11.6,13.9,10.1,7.5,8.5,17.6,13,7.3,7.6,16.5,12.7,14,8.2,21.6,11.8,7.8,3.2,10.5,10.8,17.4,9.7,2,16,25.9
Washington,10.8,9.9,11.7,13.6,10.6,7.5,9.5,20.4,22.3,9.3,15.3,20.2,13,18.4,8.7,21.1,11.8,9.1,4,10.4,13,18.2,9.8,1.7,15.6,26.3
West Virginia,17.6,15.9,19.2,23.8,18.1,9.5,16.9,29.2,16.2,16.8,0.7,31.3,25.5,21.5,16.9,29.9,15.9,12.1,4.5,17.5,19.5,23.7,16.1,3.2,23.9,35.8
Wisconsin,11.3,10.2,12.4,14.9,11.1,7.6,9,31.3,26.1,15.5,26.2,23.6,20.4,21.3,8.5,22.8,10.7,8,3.5,11.1,16,19.3,10.3,2.2,18,29.8
Wyoming,11,9.7,12.3,12.6,11.1,8,10.5,15.3,23.8,13,8.6,13.4,14.1,19.2,9.6,20.9,10.6,8.2,4.2,10.8,16.1,16.3,10.2,2.9,18,26.6
