State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,868589,375459,493906,288915,503075,76574,442997,371639,4312,8283,395,21600,20405,61677,404968,146228,160933,117267,34304,829590,37516,184293,684884,57024,165712,308313
Alaska,72625,34993,38148,26518,43405,3068,30787,3756,23363,4767,1273,1203,7494,5722,28217,6803,15434,10128,3638,67782,4799,11241,61523,3493,20909,21157
Arizona,1163514,540171,624387,402914,666835,94199,794709,64716,105204,28162,2865,129757,41376,538530,415089,182195,176921,166308,67975,950243,217327,175093,991526,81472,240108,386870
Arkansas,541704,241831,299509,186020,309389,47162,348240,145062,4341,5659,1969,20781,16631,62552,309486,81123,108701,71253,18571,510511,31583,118747,422455,37049,107624,180300
California,5990277,2753049,3242251,1972007,3532068,502730,3327464,523443,63725,611915,23546,1189610,266388,3207674,1471258,1128918,799359,812410,431680,4192030,1818783,846965,5141159,388372,1275582,2071668
Colorado,639409,292741,344176,193019,395138,49063,482240,46926,10907,18039,1446,52411,27059,232138,319003,75579,90505,99821,60939,543251,92568,102977,532480,47174,189021,177492
Connecticut,361886,159167,201864,107703,213876,37872,210152,72232,1579,11215,118,45259,18870,128177,143720,55807,71432,47067,30827,301525,57830,68686,290793,15062,84889,126409
Delaware,109077,46902,62595,35335,63651,10491,60034,35735,413,2548,31,5335,5221,21040,46944,15328,22466,13822,6813,98437,11040,18260,91285,6034,24725,35822
Florida,3141808,1420505,1717576,932214,1814664,387908,2035716,811271,10832,64348,2437,118075,91834,989980,1227738,481052,639553,461899,234765,2400024,734865,542774,2597180,207024,634168,1067510
Georgia,1749572,769164,980658,625228,996396,126562,773958,782839,7832,48040,1282,87812,45073,259411,620242,269645,304725,219357,92617,1558232,185338,286432,1458118,129541,348022,575015
Hawaii,148600,67783,80876,42669,88421,17179,34579,2682,593,37027,33770,1637,38555,20650,30044,15559,31982,26235,14553,117187,30892,25272,123283,8413,32511,51925
Idaho,243864,114554,130133,80756,142504,20867,209586,2802,5995,3334,495,11877,9790,47544,178543,24004,40335,41187,14529,223203,20980,44462,200398,17927,68354,63943
Illinois,1756795,779223,974765,574702,1024618,151331,934981,522299,6067,75799,506,158103,53651,411890,704501,235872,306114,250096,126965,1487395,262006,281150,1474314,107484,392631,584172
Indiana,958339,422976,533946,328621,562673,66900,667054,179156,3110,25916,673,45077,36151,113544,606039,129291,176847,128840,43475,886786,69310,186982,771183,61848,240870,289004
Iowa,369714,165522,204474,109261,226184,35072,298369,33288,2910,11757,638,8864,13668,40005,269750,36647,68916,57164,19460,340299,28938,69003,299480,26801,112014,96450
Kansas,374553,170080,203359,122268,220385,29769,283891,38888,4506,11695,362,14664,19480,76136,225653,41225,61470,55772,20650,332685,39718,69548,303964,30024,101921,99506
Kentucky,803738,358049,444995,254893,477545,71863,649336,102718,2552,8628,566,13396,25104,43795,626397,143517,160104,106038,30152,767181,37793,203804,599285,46935,165604,287596
Louisiana,889381,382024,508295,305225,504692,79057,361503,474497,6039,13628,191,12586,20432,49018,328894,149901,171242,105097,34953,853364,37297,175785,715179,66306,167516,299273
Maine,174750,78448,95961,45318,108010,20936,156075,6479,2716,2274,69,458,6656,4140,153187,20280,46235,28203,11734,164761,9806,49688,124871,8627,45754,57890
Maryland,576137,246874,328545,176752,339892,61301,240196,251722,2054,28183,292,32038,21766,75640,205096,83409,109697,77372,48072,485426,90955,109119,465822,31820,132703,193061
Massachusetts,741687,321788,418906,204108,449024,88069,460075,101416,3014,55954,292,81415,36848,201153,370265,111406,138943,97156,81879,585449,156216,165623,573504,28804,175587,267439
Michigan,1578470,715658,860326,498298,955466,120619,981397,437833,12470,41177,490,30369,71583,119422,905219,193629,292298,247780,82058,1449951,123090,327699,1243768,85488,390528,529178
Minnesota,575318,264678,313588,175362,348203,55441,369141,101734,16671,38914,328,20491,27741,59666,338549,65152,100015,92529,38709,495686,82590,112377,465926,35717,177481,148598
Mississippi,645159,278005,368252,227211,362205,55410,242039,377423,3834,3879,92,7966,9957,24291,228239,106824,115654,87158,21987,631218,13941,131986,513335,43482,109620,231312
Missouri,899084,401778,496077,287824,532174,79391,627470,189112,5765,17446,1394,21472,33825,61478,594502,121484,169992,131547,48103,852554,47214,197374,701767,59802,214875,281620
Montana,148749,68997,79734,40907,93665,14127,117688,905,22754,1155,70,923,5355,7556,112113,11887,29078,27498,11038,145739,3292,28510,120358,10317,46129,40319
Nebraska,226572,100819,126809,75281,130827,20497,172389,25307,5637,7384,166,7829,8670,46006,136747,27023,35085,34965,12774,197606,28697,39712,187428,19484,64518,53962
Nevada,416983,194303,222709,139397,244670,33302,246369,59201,7917,21030,4017,57287,20519,164720,150926,61123,73464,66430,25768,331381,87080,67790,349783,27087,91151,139412
New Hampshire,109262,48939,61087,28868,69770,11322,98987,2510,306,3278,37,1050,3567,7923,92918,11677,22749,18301,10509,101697,7625,26423,83178,5546,31660,35719
New Jersey,952557,416188,534577,309952,536992,103087,495831,227953,4050,54018,703,129288,35874,342021,318017,146053,193544,112356,82176,701495,244910,156475,789582,58528,181310,326762
New Mexico,426781,196691,230545,147700,241725,37257,272207,10147,65381,3159,230,61641,13718,248680,98357,69690,66845,64644,23346,372854,53759,74968,351246,31712,87621,136270
New York,2973840,1308356,1654460,909768,1737268,318925,1383281,678186,18692,277294,1392,487111,118338,909911,1072163,540643,526719,360495,242767,2175945,793453,528373,2430413,182560,583070,1064387
North Carolina,1627166,721453,910137,538878,956049,137536,875185,536796,32112,32078,1227,98914,57552,273177,715389,266664,273043,236455,83097,1464222,165098,311562,1319392,107572,368199,528962
North Dakota,79560,36307,43063,21384,49183,8986,54624,4641,13817,1932,78,865,3488,4411,51650,7535,14027,12716,4281,73487,5561,14303,64821,6238,25827,18736
Ohio,1735195,769615,963632,573250,1021164,139880,1141923,451881,5608,29128,777,26083,81597,105418,1075323,222591,347302,253374,81174,1640772,87496,373625,1357566,94046,425739,554717
Oklahoma,620408,275334,346103,215804,356134,48320,379546,76632,61775,11812,900,25218,64019,97173,323327,82377,117476,86909,27063,577032,45095,130293,489265,47788,134198,194016
Oregon,613146,285087,330513,172299,392230,50590,482780,22904,12329,24124,4308,31535,35314,126338,400907,70924,99459,118964,50901,538467,76427,128871,485847,36323,181753,191007
Pennsylvania,1645166,728907,920118,507841,972499,166321,1051483,374231,7229,60781,1029,85280,68727,255202,927285,221484,374593,194676,103297,1504419,139514,370630,1278851,84963,367317,572525
Rhode Island,139920,62008,77747,40675,84541,14936,92095,16484,1998,4329,19,18176,6933,44882,70501,22577,26521,19210,9327,115430,24682,31058,108818,6279,32172,49968
South Carolina,807242,350242,457524,270359,466629,70701,393361,350964,3195,9622,518,23225,25507,72053,349554,132252,148874,106187,36137,759620,44983,156475,649896,52693,172286,264723
South Dakota,115127,52428,62656,37774,65271,12134,67850,4012,34085,2294,78,1605,5568,7420,63621,12860,20833,16747,6222,109039,6026,22630,92725,8964,31113,28875
Tennessee,1098521,489619,608261,368906,637705,92742,723084,297173,3355,12878,916,30666,33660,102734,654026,177042,224616,132963,49152,1026827,70252,240521,861539,70654,233320,367334
Texas,4397779,1970662,2433180,1684626,2392767,324868,3062286,696436,26304,128862,3033,374194,112747,2472822,1041435,807537,611444,480398,205480,3438393,953184,669908,3735161,377496,889975,1270654
Utah,339471,157083,180874,119675,199161,20111,258514,8289,9498,10889,5109,35615,12074,87965,209733,30732,41816,49736,23699,289932,48067,46425,293418,26272,99291,84791
Vermont,69778,31381,38186,17976,44041,7609,63954,1484,430,1240,12,301,2451,1503,62598,8076,14276,10303,6607,66148,3319,17318,52572,4346,20229,21565
Virginia,918942,404730,516435,277570,556335,85021,506129,302934,2844,39522,381,32754,35995,109295,439129,137362,162154,123579,68151,807991,114844,170174,750056,57164,226620,300988
Washington,881332,403823,477876,260228,544336,76842,607478,59555,24206,61988,7942,64197,60436,191873,494192,105376,140746,163416,70655,731033,149712,179792,704267,44334,233436,294232
West Virginia,317327,142777,175002,91431,197466,28753,287793,17026,724,2221,139,1431,9096,5584,283081,53329,76608,39725,11351,312535,5090,85249,232997,15934,62722,127221
Wisconsin,711616,318995,393288,223582,424435,65195,489241,123820,13677,26705,329,29359,29490,95157,433923,77588,132611,107083,39572,661089,50847,139425,572332,45977,209076,191115
Wyoming,65997,29522,36058,18962,41079,5644,54613,1186,3667,1029,30,2827,2286,11545,47616,5619,11836,11488,4009,61463,4154,11113,54498,5974,21198,15833
