State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4631432,2232998,2398434,1117857,2886264,627311,3243308,1196832,25905,51579,1210,48878,63720,170351,3133058,540994,967412,884170,686384,4470898,160534,-,-,1405367,792884,820370
Alaska,684608,351888,332720,182576,450642,51390,462988,22200,94670,35533,6677,8827,53713,37976,442396,36781,116977,159970,118727,636875,47733,-,-,213958,177552,80738
Arizona,6197190,3052709,3144481,1596749,3750516,849925,4889075,238296,272710,169293,10827,449577,167412,1817790,3620639,583553,986841,1370455,1074417,5331037,866153,-,-,1852126,1093106,985067
Arkansas,2814184,1373498,1440686,696101,1720805,397278,2214844,427474,16962,34273,4960,62841,52830,174123,2112092,314347,654221,524364,371010,2688872,125312,-,-,853896,488412,457262
California,36211794,17896915,18314879,9156618,22983252,4071924,22438949,2139568,277564,4758104,138273,5037819,1421517,13503094,14732977,4439740,4912305,6923466,7166634,26273561,9938233,-,-,10814592,7092111,6194249
Colorado,4852160,2414388,2437772,1196763,3136215,519182,4082736,183652,45497,131648,5492,249456,153679,985873,3423966,320008,728668,982245,1180398,4377063,475097,-,-,1648150,1030356,590803
Connecticut,3448191,1674026,1774165,810097,2162357,475737,2719796,331587,7578,128737,1268,181021,78204,449691,2482252,261668,660184,589408,856943,2983375,464816,-,-,1147528,687697,427452
Delaware,865744,418398,447346,202000,541112,122632,616207,179447,3076,28433,437,19156,18988,68418,573214,71437,185001,163520,165886,792424,73320,-,-,289014,156762,119339
Florida,18282511,8874476,9408035,3940092,11200930,3141489,14013939,2825748,56251,449557,10619,554507,371890,4057788,10709545,1790961,3815621,3774591,3350998,14726887,3555624,-,-,5591952,3162808,2926228
Georgia,9336746,4518861,4817885,2443197,5917547,976002,5719382,2809444,23011,301347,4294,323539,155729,804180,5285102,935753,1760160,1646146,1683859,8424365,912381,-,-,3008389,1625254,1560423
Hawaii,1311890,651768,660122,297648,828071,186171,322514,19607,2807,515593,126799,15157,309413,114599,296207,87363,257380,288635,268154,1075920,235970,-,-,449445,233413,179428
Idaho,1519070,757968,761102,416818,917007,185245,1404272,8443,18627,18300,2413,30728,36287,164689,1282336,108408,270726,340533,237278,1428462,90608,-,-,439418,332152,191102
Illinois,12487023,6097469,6389554,3095323,7863004,1528696,9017618,1781720,24269,571519,3090,861984,226823,1959070,7997320,1072657,2268124,2353294,2564426,10753004,1734019,-,-,4024423,2412774,1796914
Indiana,6255949,3067055,3188894,1573243,3889646,793060,5330363,546209,14173,94842,1197,144607,124558,367774,5132069,533005,1471704,1165236,946954,5970565,285384,-,-,1959712,1238444,875307
Iowa,2932765,1449236,1483529,710629,1796426,425710,2696640,79406,9122,50461,986,45832,50318,139236,2615318,183102,658554,624188,494418,2808927,123838,-,-,1025078,582259,272537
Kansas,2746674,1355692,1390982,705712,1688135,352827,2348696,152467,22097,65265,1550,74553,82046,280455,2165699,181455,501251,563627,538031,2568139,178535,-,-,945613,523774,297721
Kentucky,4186093,2044014,2142079,1000752,2637840,547501,3708200,313572,8489,46559,2274,40758,66241,119640,3639508,505491,962687,758771,591807,4054061,132032,-,-,1256356,758553,738695
Louisiana,4356062,2107704,2248358,1095801,2732866,527395,2778423,1367775,27618,68009,1644,49307,63286,177171,2666057,500566,975035,739217,607980,4196624,159438,-,-,1361297,759219,741074
Maine,1293254,632089,661165,271320,821451,200483,1236229,13027,6814,13154,296,3455,20279,16612,1225230,88054,316805,265736,252081,1250526,42728,-,-,415355,276493,164976
Maryland,5597203,2692505,2904698,1334938,3591229,671036,3324016,1631011,15985,307872,2417,180155,135747,442416,3098524,435013,980777,979561,1375450,4830864,766339,-,-,2052374,1009553,693360
Massachusetts,6288679,3045234,3243445,1405216,4033275,850188,5120114,412952,11665,330917,1471,262288,149272,587872,4839981,470702,1131827,1044457,1700259,5353593,935086,-,-,2099233,1321751,787926
Michigan,9697212,4736931,4960281,2339941,6054987,1302284,7718422,1344294,52770,237499,2461,126250,215516,420184,7464775,735553,1996894,2082120,1652912,9112360,584852,-,-,2686461,2040066,1622269
