State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,815132,348348,462898,280582,461802,70259,402170,366231,5751,6757,230,15250,16121,53150,366568,154724,141242,91954,24710,777936,36602,-,-,44972,176020,267441
Alaska,65038,31670,33272,23370,39206,2518,30557,2353,19881,3589,1182,662,6768,3912,28756,6216,12400,9438,2968,60503,4821,-,-,2567,22194,16794
Arizona,1003945,467064,537706,365656,566328,69694,689360,54093,95721,21162,2046,111495,29465,468990,354823,167480,139145,130193,48349,794325,210475,-,-,66677,215342,323102
Arkansas,517810,226627,289578,186555,285654,44892,325582,145769,4241,4318,2073,19418,14740,53978,295693,86760,96825,60826,14098,486686,29950,-,-,34156,115265,154555
California,5214498,2398187,2820491,1822167,3010806,370545,2849747,457868,60787,523391,18252,1113358,193326,2808644,1281769,1034459,653337,616188,322499,3546931,1669623,-,-,324438,1148922,1752972
Colorado,606520,280069,326661,198663,366937,43092,449101,44627,10783,13691,895,62863,25050,240553,291037,81922,85254,82509,48396,507739,102146,-,-,41204,185464,158335
Connecticut,327578,142292,184513,102072,192450,31399,184946,67644,1500,10041,89,51953,11574,111074,134042,56782,59417,37722,23994,274471,52524,-,-,14918,80461,108145
Delaware,96963,40585,56366,33734,54652,8584,51761,34633,588,2246,4,4004,3266,15668,41845,14716,17945,10302,4977,87167,9898,-,-,5202,23044,29835
Florida,2687529,1206929,1477061,823479,1545728,311007,1695687,723391,13106,53947,1603,125873,64337,791269,1081664,453113,522740,347262,167550,2061764,615123,-,-,167759,591445,877868
Georgia,1540563,677829,862401,552163,875797,112240,663448,693933,5408,34655,1121,110974,28498,241254,549651,274176,258744,158030,69038,1356323,184301,-,-,96268,331552,500896
Hawaii,133813,60614,73934,40480,80323,13590,33864,2098,584,32998,24219,2486,38058,17877,30213,14939,25481,22514,12067,106516,28080,-,-,7641,31044,45754
Idaho,217227,97778,119493,74610,128381,14079,189577,2043,4955,3605,352,8143,8636,45948,155163,24392,33029,32010,11389,195699,21021,-,-,15380,68423,51406
Illinois,1635800,725599,913706,572635,935697,129939,847656,509572,4441,60581,266,172397,42189,376141,663778,245638,265371,204737,97448,1387138,249699,-,-,96586,386044,512120
Indiana,882089,389516,494279,313075,509544,60273,628983,160585,2523,18210,299,41791,31015,100770,579924,126855,158944,101376,32196,817967,64211,-,-,47033,234066,259966
Iowa,348999,153619,194342,109437,206589,31928,283147,29618,2353,7115,357,11091,14391,35923,261532,38635,60587,48687,14833,325836,22786,-,-,21527,115287,79853
Kansas,346081,155905,191956,118560,200888,27521,256008,39794,5613,9072,191,19160,18214,68992,212239,42823,55138,45090,17755,310745,36778,-,-,25532,101612,83957
