State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,18.1,16.2,19.8,26,16.6,11.1,12.9,30.9,22.6,13.4,21.6,33.2,26.9,32.9,12.2,29.5,15,11.1,3.8,17.9,23.8,24.8,16.8,3.4,23,33
Alaska,9.6,9,10.2,13,8.8,4.6,6.7,10.8,20.7,10.8,15.3,6.9,12.7,10.1,6.6,17.1,10.3,6.3,2.7,9.5,10.1,13.8,9.2,1.3,12.6,21.6
Arizona,17.2,16.2,18.1,24.4,16.2,8.2,15.1,23.4,36.4,12.7,18.9,26.1,19.2,27.1,10.5,30.1,15.2,10.3,4.8,15.9,25.2,20.6,16.7,3.7,21.2,34.3
Arkansas,18.7,16.9,20.5,27.1,17.1,11.1,15.3,33.7,24.5,12,39,31.7,27.1,31.9,14.4,27.7,15.5,12.2,3.9,18.5,24.4,24.6,17.6,4.2,24.4,34.5
California,15.3,14.3,16.3,21.3,14,9.5,13.5,22.6,23.4,11.4,14.6,24,14.6,22,9.3,24.5,14.2,9.7,4.8,14.4,17.7,20.2,14.8,3.1,17.4,29.4
Colorado,12.9,12,13.7,17.1,12.1,8.1,11.3,26.5,24.7,10.3,15,27,16.1,24.2,8.8,26,12.1,8.9,4.2,12,21.1,18.6,12.3,2.6,19.1,27.2
Connecticut,10,9,10.9,13.2,9.5,6.7,7.2,21.6,20.8,7,7.3,30.3,15.6,25.7,5.6,22.6,9.8,6.9,3,9.7,11.7,18,9,1.3,12.4,26.5
Delaware,11.5,9.9,13,16.9,10.5,7.1,8.8,19.4,14.6,7.5,2.7,23.9,17.2,22.7,7.7,22.1,9.7,6.5,3.2,11.3,13.8,16.6,10.8,1.9,15.5,25.6
Florida,15.6,14.6,16.6,22.5,14.8,10.1,13,27,24,12.2,14.2,24.9,18.8,20.6,10.8,26.9,14.6,10.1,5.3,15,18.3,20.6,14.9,3.2,20,31.3
Georgia,17.4,15.9,18.8,24.1,15.7,11.3,12.4,25.6,25.7,13,27.2,36.5,20,31.3,11.1,30.5,15.7,10.5,4.5,17,21.3,24.2,16.6,3.5,21.7,33.1
Hawaii,10.8,9.7,11.8,14.6,10.2,7.2,10.8,11.3,24.4,6.7,21.3,16.1,12.7,17,10.5,18.1,10.7,8.1,4.6,10.4,12.4,17.4,10.2,1.8,14.2,26.3
Idaho,15.1,13.8,16.4,19,14.8,8,14.3,22.6,26.6,19.8,21.4,28.7,23.2,28.9,12.9,24.1,12.9,10.1,5.2,14.5,24.2,20.2,14.4,3.6,22,27.7
Illinois,13.7,12.4,14.9,19.3,12.5,8.6,9.9,29.5,19.8,11.3,8.1,21.1,18.7,20.1,8.6,24,12.2,9.2,4.1,13.4,15.1,20.3,12.9,2.5,16.9,29.4
Indiana,14.7,13.4,16.1,20.9,13.8,7.4,12.3,30.6,20.4,20.3,25.3,30.7,25.5,28.3,11.7,25.2,11.4,9.3,3.6,14.3,23.2,21.4,13.8,2.6,20,30.3
Iowa,12.2,11,13.4,15.9,11.9,7.5,10.9,37.1,29.2,13.6,28,24.6,27.7,26.6,10.4,21.6,9.6,8.3,3.2,11.9,18.7,19.8,11.3,2.3,20.6,30.1
Kansas,13.2,12,14.4,17.9,12.5,7.5,11.5,26.7,25.2,13.9,15.8,25.7,23.5,25.1,10.3,24.1,11.7,8.5,3.4,12.7,20.6,19.9,12.3,2.9,21,28.7
Kentucky,18.6,17,20,25.7,17.2,12.2,17,32.9,27,13,20.3,34.1,33.1,32.2,16.7,32.2,14.9,11.6,4,18.4,22.6,28,16.7,3.2,22.8,35.7
Louisiana,18.7,16.2,20.9,26.6,16.7,12.5,11.7,32.2,23.4,16.6,16.6,21.5,24.7,20.9,11.4,29.6,15,11.3,4.4,18.7,18.2,24.9,17.6,4.1,23.2,34.5
Maine,13.3,12,14.5,18.1,12.8,8.8,12.5,45.8,33.1,15.6,33.1,35,25.9,30.5,12.4,26,13,9.2,4,13.1,18.5,23.4,11.4,2,17.2,32.9
Maryland,9.4,8.5,10.3,12.2,8.7,7.7,6.6,14.5,13.4,7.9,9.9,15.5,11.9,13.2,6.2,19.9,9.7,6.6,2.8,9.2,10.8,17.3,8.6,1.4,13.1,24.3
Massachusetts,11,9.9,12.1,14,10.4,9.3,8.6,21.4,26.4,14.1,20.9,32,20.1,30,7.5,24.3,11,8.1,3.9,10.4,14.6,21.8,9.7,1.1,13.4,30.3
Michigan,16.3,15.2,17.4,22.8,15.7,8.2,12.8,34,25,14.3,26.9,29.8,27.3,28.4,12.2,28.1,14.5,11.1,4.1,16.1,19.8,24,15.2,2.8,20,31.8
Minnesota,11.2,10.3,12.1,14.3,10.6,8.3,8.7,35.1,38,17.1,12.9,24.3,21.9,25,8.2,25.6,10.5,7.6,3,10.5,20.6,21,10.1,1.9,16.4,28.7
