State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4662094,2247733,2414361,1117199,2901236,643659,3257379,1209247,25692,53736,1231,49803,65006,178290,3140922,525321,972191,907663,701896,4497880,164214,761923,3885906,1413317,760882,857969
Alaska,694795,358350,336445,183280,457072,54443,468246,22779,96124,37577,7222,7710,55137,38878,445905,36434,118565,163626,122428,646097,48698,76314,605712,222506,171324,83926
Arizona,6267024,3085751,3181273,1598214,3785885,882925,4984154,248119,276114,174568,11425,397930,174714,1854109,3634542,580981,988066,1406058,1100724,5416528,850496,721301,5531997,1859864,1063482,1042107
Arkansas,2833046,1383225,1449821,697228,1729564,406254,2227578,431600,17018,34993,5425,61781,54651,181278,2117243,305045,658159,538168,378445,2706067,126979,477965,2348917,868249,461766,476985
California,36575460,18076788,18498672,9139932,23230922,4204606,22830504,2146655,281461,4851859,140989,4816701,1507291,13772548,14689765,4456988,4879766,7115654,7316107,26573411,10002049,3680548,32802805,10869385,6958406,6510418
Colorado,4927283,2454108,2473175,1204622,3179992,542669,4157641,189158,46186,134144,5705,233494,160955,1013864,3461182,318696,723655,1015299,1216274,4445325,481958,485018,4420858,1686045,1002892,622711
Connecticut,3463192,1682640,1780552,802924,2173437,486831,2726703,339375,7973,133115,1410,170911,83705,466264,2471666,254802,658411,598717,874512,2990993,472199,368927,3089266,1151691,672545,447564
Delaware,874954,422460,452494,202301,545623,127030,619381,183742,2827,28853,371,19394,20386,71589,574144,70632,186871,164459,171431,800870,74084,108631,762868,291953,153252,124103
Florida,18479273,8967348,9511925,3940470,11306423,3232380,14179981,2885546,56433,458948,11148,487927,399290,4183337,10707783,1782504,3832832,3874521,3419385,14874065,3605208,2367805,16067425,5579803,3096754,3104871
Georgia,9448393,4573252,4875141,2451368,5980404,1016621,5773864,2855637,24139,310058,4221,307452,173022,833400,5305933,922872,1758140,1709555,1725026,8526581,921812,1120796,8288408,3028484,1569464,1657647
Hawaii,1326949,659571,667378,298414,836361,192174,325085,20314,2839,519268,131172,14901,313370,117782,297993,87287,258189,295439,272925,1084266,242683,140466,1159162,455609,227971,186597
Idaho,1537058,767158,769900,419144,925577,192337,1418140,8413,18564,18646,2197,33510,37588,171044,1292713,109032,270095,350335,242581,1444517,92541,188790,1345106,441456,326757,203157
Illinois,12522726,6117542,6405184,3072262,7891401,1559063,9102093,1783804,25808,582994,2796,781964,243267,1998323,7971631,1053412,2248981,2394541,2617520,10775195,1747531,1296343,11215834,4051246,2339196,1865928
Indiana,6287582,3082937,3204645,1571577,3904620,811385,5349393,552296,14674,98012,1489,142493,129225,379321,5138345,522735,1464684,1192842,965966,5997498,290084,808412,5474689,1970722,1205606,910025
Iowa,2948498,1457946,1490552,712573,1804763,431162,2708462,82075,8791,51688,1212,42889,53381,146104,2618551,177203,649245,640610,506908,2820921,127577,338857,2607183,1040625,560202,285745
Kansas,2767281,1366829,1400452,709315,1698582,359384,2371930,153541,21741,66151,1419,67815,84684,291280,2171063,179473,495299,577383,547973,2585135,182146,336612,2416989,959660,506381,310498
Kentucky,4209861,2057449,2152412,1000963,2649004,559894,3723639,315802,8083,48372,2235,40681,71049,126107,3648985,487593,963396,782617,605501,4073787,136074,708108,3489583,1268263,730940,762930
Louisiana,4400761,2129846,2270915,1099463,2759784,541514,2795379,1389479,28124,70133,1781,48220,67645,185770,2675676,491843,979416,766529,625822,4239032,161729,659826,3727338,1396768,731347,757933
Maine,1293465,632089,661376,267339,820011,206115,1234290,13303,6853,13442,272,3128,22177,16374,1223077,85231,315953,270591,255454,1250476,42989,204385,1086713,415619,268932,169601
Maryland,5645390,2716424,2928966,1330756,3622541,692093,3335156,1645848,16828,318382,2012,178176,148988,462857,3094975,427570,984503,1001365,1403065,4856831,788559,573473,5048223,2079003,977730,726897
Massachusetts,6333378,3067442,3265936,1399687,4062559,871132,5135081,426398,12290,341945,1356,254905,161403,610339,4840254,465188,1127750,1072216,1729534,5384939,948439,720115,5608086,2124882,1291386,819807
Michigan,9676703,4726528,4950175,2300573,6042805,1333325,7704211,1339953,54061,238052,2453,111641,226332,426682,7431637,717586,1977885,2113700,1672459,9090329,586374,1315369,8356598,2687206,1965638,1676591
Minnesota,5191097,2575664,2615433,1263116,3269191,658790,4472883,260330,53714,211619,2054,69866,120631,244056,4316511,272488,935482,1135898,1131407,4815620,375477,521118,4667157,1787951,1095050,532122
Mississippi,2872106,1378981,1493125,741450,1760593,370063,1721652,1057652,13005,25530,313,21711,32243,73134,1677426,341871,563237,574226,377549,2810786,61320,472312,2390329,851366,438929,555595
Missouri,5802726,2827977,2974749,1389586,3607689,805451,4838007,657078,21756,92289,5574,59759,128263,205282,4709754,481258,1227276,1163596,1018168,5577303,225423,816135,4975116,1891785,1063032,815759
Montana,966486,483449,483037,218617,604728,143141,867737,3776,60114,5812,592,5436,23019,27709,849393,52434,198413,219853,190394,947602,18884,127322,836239,302984,209172,118711
Nebraska,1772893,878520,894373,447968,1089690,235235,1567570,77452,15635,31358,990,42543,37345,162521,1459437,107826,331169,393566,331342,1662836,110057,192178,1575544,646383,328234,164183
Nevada,2665094,1337961,1327133,653506,1686300,325288,1945350,210549,29329,195116,16196,166685,101869,708679,1443516,273487,506798,593272,396678,2150105,514989,288469,2367348,852896,480742,426633
New Hampshire,1277667,631457,646210,281488,823087,173092,1205157,14120,2351,27650,194,8494,19701,35712,1179811,74584,260568,258487,301198,1209792,67875,146354,1130080,457161,257518,144925
New Jersey,8619763,4181985,4437778,2034640,5427997,1157126,6020084,1136038,21213,726435,2526,508847,204620,1533819,5120445,693025,1702238,1382133,2104347,6803251,1816512,860788,7750425,2903062,1493718,1275349
New Mexico,2013777,987559,1026218,508166,1235440,270171,1465827,38488,184987,26392,1259,235691,61133,933709,817865,213079,345282,412901,340680,1817713,196064,276582,1729921,602075,343548,347064
New York,18885925,9112418,9773507,4252153,12093479,2540293,12489286,2925050,67508,1413660,6197,1526880,457344,3352634,11011719,1905934,3497798,3213543,4275123,14674726,4211199,2071626,16794846,6206381,3280794,3132132
North Carolina,9289467,4496386,4793081,2245364,5837497,1206606,6509327,1966020,107246,206446,4208,300252,195968,779763,6085222,942219,1688168,1899495,1689339,8581201,708266,1221896,8004337,2921269,1666656,1500971
North Dakota,652525,329279,323246,147888,412819,91818,588427,7637,34685,6449,352,3722,11253,13350,580646,39012,117490,158238,119117,636342,16183,70621,577697,245978,130832,53037
Ohio,11222568,5458365,5764203,2675185,6982608,1564775,9349894,1338800,20527,190793,2044,86988,233522,343408,9131658,861648,2635902,2173254,1897871,10779277,443291,1494492,9717293,3515423,2105855,1680676
Oklahoma,3634666,1783974,1850692,910982,2232910,490774,2692899,253175,253988,63634,4138,90295,276537,321532,2505619,319436,749624,748831,561978,3435770,198896,573436,3046563,1184885,600333,548664
Oregon,3762697,1854362,1908335,849030,2383060,530607,3214440,65935,50946,140934,13730,141067,135645,440632,2955117,276396,635670,907513,760816,3391308,371389,508642,3251012,1082810,827309,572440
Pennsylvania,12289177,5966159,6323018,2738553,7659409,1891215,10181571,1289581,18362,338994,3323,235254,222092,693795,9803763,960348,3142633,2053616,2328793,11571688,717489,1637312,10643271,3967598,2240358,1794243
Rhode Island,1011137,488652,522485,219691,646285,145161,827707,60816,4582,29823,312,62711,25186,127483,773359,102818,190986,186166,216788,877997,133140,128282,880172,328463,201120,143963
South Carolina,4488442,2162808,2325634,1062298,2803504,622640,3028717,1237704,14616,55846,1626,72301,77632,223836,2892617,467651,913105,886270,750769,4272352,216090,621497,3847753,1378902,763561,781422
South Dakota,786956,393613,393343,197340,478813,110803,678751,9648,67880,7730,135,6595,16217,21458,667420,48800,164491,168407,137556,766216,20740,90503,693591,288531,141537,71097
Tennessee,6194236,3004472,3189764,1469367,3891773,833096,4877609,1014796,15448,90596,2674,86277,106836,282105,4700235,655454,1374191,1153822,993948,5910250,283986,934336,5243984,1930302,1090521,1039520
