State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,885751,383735,502809,299606,512939,74852,446278,383936,4298,8140,404,22814,20365,63616,411275,150283,161421,116928,33368,850331,38918,186958,699737,56465,173833,310650
Alaska,73054,34914,37927,26063,43877,3101,31788,3815,22807,4801,1272,1207,7427,4690,29611,6720,14792,10484,3487,67597,5511,11113,61441,3484,21305,21462
Arizona,1180983,548722,633345,413643,680769,88693,811434,64211,108978,26649,3338,124507,40294,551714,415975,187954,176490,164055,64475,953975,224588,170509,1011151,79530,240899,397958
Arkansas,554392,248213,305794,191882,314918,45927,357425,147513,4308,5390,2562,19241,17079,64194,315860,84333,108974,71884,18129,519820,33604,119662,433128,38393,112768,181914
California,6141634,2828937,3317712,2033394,3614967,484229,3429808,534771,65029,617059,25128,1200629,267150,3290250,1504277,1166010,805073,813430,419182,4273012,1872349,841808,5285905,390696,1313423,2139653
Colorado,655539,303748,351912,203443,403441,46566,487822,48467,11468,18057,1068,58136,27976,242361,321815,78017,91392,98593,60189,553719,98165,101403,552361,44047,195887,182352
Connecticut,365747,160969,205722,110816,218799,36946,210863,74666,1788,11330,107,50309,17617,131634,145013,57091,71534,47803,30399,308180,58461,68518,297615,14926,86697,129041
Delaware,108098,46001,62091,35168,63454,9741,58374,36402,417,1989,27,5590,5313,19999,46234,16039,21695,13305,6415,97746,10484,18310,89825,5940,25153,35564
Florida,3172654,1436592,1742345,958213,1855072,369265,2053351,838797,12530,62824,2395,125219,89650,992039,1241978,492987,641883,460371,222052,2447012,740772,535021,2646146,201318,654658,1089936
Georgia,1791635,790905,1000847,639265,1027804,123019,795815,796158,6557,48092,1361,93170,45643,271139,641041,281205,309228,218741,93244,1588283,197231,287534,1497952,126099,358010,600428
Hawaii,153338,70554,83460,46043,91065,16348,37010,2739,587,36570,31899,2038,43361,22261,32165,15844,32285,26396,14139,123657,30372,25304,128594,8306,34281,53191
Idaho,245584,113903,130914,81082,145301,18581,212359,2431,5851,3323,502,11399,9729,48278,177983,25132,39037,40497,14615,224691,21206,43024,202370,17866,70228,64600
Illinois,1797669,804800,996278,605029,1052909,143970,966565,539268,6099,75894,426,164400,53036,430573,716182,245089,311287,248877,124442,1521234,274461,278186,1524014,106193,408447,600357
Indiana,980664,434213,545011,340466,574760,63992,682511,183163,3278,23924,613,49008,37018,120448,616668,133455,176513,130231,42334,909061,70734,185235,791934,58730,246472,298255
