State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,793966,341201,453441,258066,459375,80107,399909,337984,4201,8635,546,23801,19946,60937,366122,128731,157858,109029,36211,761083,34229,175191,618446,53507,145804,284912
Alaska,76973,37604,39218,26714,45316,4787,33581,3209,25492,4856,1841,1105,6833,5403,30672,6998,17574,11389,4096,71544,5522,12990,63917,4155,21037,22586
Arizona,1040575,481980,563017,345696,592797,106362,704400,61402,101434,27713,2187,104021,44417,465863,378264,157662,165566,162133,70803,858987,185207,174354,866753,77054,212749,337530
Arkansas,494862,219982,277459,163803,283176,49700,315788,128127,4471,5402,2318,22677,18293,56361,285273,70264,103620,70748,21593,470595,26123,118490,376528,36085,94313,167700
California,5163814,2343561,2805492,1608398,2983908,549814,2811311,445955,57542,572085,20149,1006889,232787,2665752,1305058,944979,734022,732804,438418,3595598,1545907,788337,4365453,345205,1054654,1754610
Colorado,565381,258077,307287,156700,352218,56105,433861,39429,10115,19056,1092,34260,27628,191232,292042,61367,86901,97020,62376,490025,74975,101208,464057,41760,162608,165006
Connecticut,343539,150332,194125,97672,204738,41801,200770,65631,1624,12345,116,45550,18139,123308,137166,53338,70838,45034,33982,283902,58969,69994,273578,15362,81596,118307
Delaware,109830,47072,62237,34870,63434,11229,57873,37692,681,3981,69,4013,5235,18512,44873,13167,25224,14364,7684,97484,11660,19923,89804,6919,24125,34852
Florida,2867375,1283560,1590208,827291,1614180,430221,1867241,712558,9521,66573,2215,117817,88447,933689,1105169,426661,606658,435902,253880,2169961,694577,527523,2350627,202309,546857,947420
Georgia,1529681,664627,865156,530776,854754,140418,674307,682057,8989,41726,1560,73557,48242,221983,542015,227287,282508,198708,92420,1373295,156385,265114,1263928,121168,299966,486834
Hawaii,130113,59197,70976,35536,75260,20197,32273,2207,790,32277,28122,1445,33646,19550,26946,13703,30228,23632,14001,102508,27834,23959,105745,7296,27493,43632
Idaho,220903,102705,118222,68680,129821,22412,186710,3384,5515,4100,772,12091,8671,43564,159188,21082,39088,39128,14412,202912,18692,44112,177391,17581,60655,58093
Illinois,1559355,683097,873480,487701,906171,163364,840737,453245,5326,73985,546,131526,51332,346245,643942,201443,285605,235291,125816,1326548,229217,272274,1285629,102456,341423,513074
Indiana,865826,380531,486964,284384,507820,75057,604419,161066,2550,26337,338,35394,36301,100705,548086,112802,169937,117703,46552,802007,65804,179933,690336,58949,212335,266205
Iowa,349621,155140,193280,98707,213202,35690,276830,34569,2804,11905,1134,8054,14085,38001,247869,33883,67378,54512,21394,319425,29084,67773,281397,26454,104324,92256
Kansas,339127,151241,186764,104171,201842,32308,248688,39252,4402,11819,328,14476,19045,64993,204296,36066,57165,52786,20817,304144,33884,69265,268895,28911,91349,90158
Kentucky,745544,329267,417774,231531,440366,75608,601324,94149,2259,9076,540,12915,25360,41981,577484,129921,156627,102849,31987,712269,36543,196081,549410,44964,151990,264997
Louisiana,870281,376616,496734,295762,489969,86678,362305,452530,5866,11815,271,17291,21396,54887,326796,144863,179050,106083,38175,829687,40026,176677,692670,65284,153916,296827
Maine,153257,67860,85066,37038,93679,22587,136280,5939,2448,1821,107,417,6036,3863,133489,18121,41545,25756,12637,146554,7067,45766,107719,7316,38869,50992
Maryland,540632,232289,307408,159871,312453,67704,219224,231969,2445,26055,199,38806,21960,75424,185853,76216,110253,73709,51343,452504,85867,111679,426728,32651,117616,178534
Massachusetts,681384,295300,388237,178282,406797,96387,429630,93550,3182,55461,331,66252,35045,191868,327443,100750,131221,92623,83055,527532,151233,157577,525095,28079,158362,240852
Michigan,1402794,630361,769756,425247,836736,136754,873572,382350,11544,39764,902,27476,65357,109855,806842,168988,276957,225627,82998,1287709,113781,308259,1092903,82473,341174,455216
Minnesota,527688,238228,289692,155366,310434,59659,329596,98388,16965,35698,310,20179,26048,54311,300348,58451,95890,87090,40590,442773,81859,108598,416596,33418,154762,137844
Mississippi,586014,252276,334642,201448,326587,57305,216991,341596,4619,3812,136,7818,9940,21257,205647,91646,113575,83582,22919,572707,12914,124954,461171,42301,94892,210181
Missouri,811392,358613,451549,252702,475440,83369,570785,165090,5743,16665,2082,18930,31174,54654,537808,107346,161124,120642,48198,765777,45777,185967,625381,58748,188963,251834
Montana,134304,63270,71516,35192,83845,15809,105553,787,20481,1058,33,1146,5889,6952,100909,10556,28505,24088,11076,131378,3216,27119,107641,10850,40673,35448
Nebraska,206426,91672,114847,64572,120203,21726,155763,21943,4674,7628,319,7750,9207,41048,125108,22700,34960,32962,13106,181103,25496,39112,166964,18713,57860,49857
Nevada,383815,176935,206933,121809,222356,40302,211820,60292,8751,21679,3262,56511,21585,143951,135811,53032,73539,66422,28239,308667,76295,67787,316699,27177,80184,127552
New Hampshire,99181,43931,54695,23418,62532,12978,87489,3836,215,3155,80,818,3079,7841,81397,11727,22101,16328,10618,90641,8334,26378,72596,4349,27266,33180
New Jersey,870620,381059,491944,271385,480297,113805,461630,198715,3299,55284,838,117629,31340,316294,285245,133689,182557,104600,82695,632703,233088,152886,717042,60402,162616,288104
New Mexico,391547,180257,211721,128306,222385,41705,256716,9932,63751,2974,272,44927,13099,225980,89932,63852,66318,60668,23701,347255,45550,76140,316117,28355,78645,127649
New York,2687908,1171464,1505375,790150,1533440,350957,1263920,622854,17848,241757,1890,417409,113067,807138,987221,486884,504871,337279,243167,1985034,688757,526388,2154821,154558,517917,946491
North Carolina,1467779,642189,825025,479416,846737,144482,791383,476273,29962,30579,1359,84648,54617,248238,644674,227437,257604,219299,86920,1320953,143655,284126,1183970,106476,317905,465077
North Dakota,78359,36684,41528,19685,48912,9715,53312,5382,12391,2016,429,1212,3351,4784,50792,7445,14373,12902,5027,72344,5602,14980,63369,6120,25473,18865
Ohio,1586344,702656,881343,509023,924699,151663,1025397,409522,5563,33081,1222,28656,84347,106242,959445,198221,341735,239832,85221,1502208,90090,358920,1225722,94500,384727,493937
Oklahoma,599327,268522,329730,201885,344002,52067,362811,74000,60220,12731,1510,26780,60255,96111,306734,76924,119688,84839,28266,556022,43724,131177,465662,47672,126728,187368
Oregon,534867,244205,289098,141175,337856,55216,420871,19736,10298,24128,3402,21315,34323,105777,347222,60858,90585,107145,50547,470745,64453,119728,412344,34299,147848,170837
Pennsylvania,1535155,682133,862745,460019,900152,178381,971075,350928,5739,58506,983,83613,67087,253212,845972,196861,361782,193936,109202,1405250,136171,371881,1169088,88544,343491,512254
Rhode Island,126047,55909,69913,34688,74410,16586,81941,14988,1244,5305,110,14569,7459,40132,61518,19736,25942,17065,10764,103336,22946,32204,93809,5938,27050,45114
South Carolina,741438,319267,422565,240416,421722,79508,358552,317250,3866,10241,838,26173,24487,72124,318297,117855,146255,102310,38583,699243,43990,149110,592912,52547,151263,238911
South Dakota,110198,49941,60607,36186,62617,11752,62606,3743,35347,2318,93,1217,5159,6372,59524,12006,21280,15653,6066,104502,5693,21213,89251,7917,29012,29204
Tennessee,994504,441619,555336,323830,574480,98396,656700,267213,3653,11844,978,26445,32812,93443,590760,154163,215905,127191,52458,936770,63057,227535,766489,69699,204054,331057
Texas,4062765,1811422,2256921,1515863,2193976,358000,2827874,634458,23523,136756,4600,339231,107373,2260340,974594,702438,606499,473496,226713,3203464,865586,641398,3440623,360927,786501,1198799
Utah,298789,137712,160987,99440,177059,21111,226843,9658,8898,9377,2903,28805,11128,71764,188880,24786,38952,44116,25334,259493,39053,41980,255884,24203,89087,74177
Vermont,65358,29519,36227,14831,41999,8654,59446,1957,367,1406,19,226,2081,1785,58084,7636,14245,9684,7336,61772,3899,16976,48555,3752,19498,20825
Virginia,869370,379987,487403,255268,517106,93396,473078,272487,2950,38807,430,36020,39308,107587,417352,123289,158697,119580,71379,752303,111977,167296,694370,59278,206503,277952
Washington,784815,358497,426538,219915,482523,82326,521271,55342,20253,57789,7342,66061,54760,169191,434083,91437,130182,152759,73222,646972,135970,167556,618347,41311,204221,261076
West Virginia,310766,138105,172249,85726,192264,32613,278952,17281,559,2381,3,2300,7792,5610,275773,48365,80714,39835,11874,304031,5537,82483,228038,16293,60046,123381
Wisconsin,637586,285227,352905,187365,383842,70440,434952,110025,12769,24489,601,27417,27061,81832,390837,67403,126604,98329,41530,594701,45550,128618,512210,44448,179869,174968
Wyoming,62361,27924,34322,16853,38197,7124,54525,784,3206,629,49,1141,2130,10687,45848,5347,11770,11593,4466,59120,3141,12112,50013,5740,17700,16543
