State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4596836,2217453,2379383,1116825,2865552,614459,3231872,1182690,25256,50115,1723,45544,59636,159598,3128468,550522,968062,857537,672579,4441423,155413,-,-,1397166,817097,783843
Alaska,674801,347260,327541,181376,444592,48833,454695,21532,94760,35715,6189,9505,52405,37415,435152,38716,114996,154389,115732,625637,49164,-,-,206014,183400,77065
Arizona,6110304,3013154,3097150,1586990,3701150,822164,4788252,229265,268939,163674,11207,487378,161589,1770090,3601484,582526,984506,1328375,1053373,5242329,867975,-,-,1847935,1111006,920766
Arkansas,2790794,1362035,1428759,693360,1708166,389268,2196395,425162,18724,32662,4100,63671,50080,164341,2103504,323696,650939,511291,358976,2670902,119892,-,-,842415,508941,436765
California,35877036,17733247,18143789,9173776,22738319,3964941,21972223,2135228,273653,4683006,137162,5334398,1341366,13209479,14801363,4412392,4931965,6763759,7033151,26017049,9859987,-,-,10792856,7198563,5867416
Colorado,4773303,2375334,2397969,1185630,3088342,499331,3998586,179592,44529,130669,5570,269141,145216,957448,3382492,325885,727322,951320,1143466,4300881,472422,-,-,1617052,1044973,560499
Connecticut,3434901,1666876,1768025,816122,2151496,467283,2717378,326371,7478,125472,1248,181907,75047,432941,2493653,264544,666154,582882,838397,2974457,460444,-,-,1141121,702194,409181
Delaware,856004,413993,442011,201596,535708,118700,610599,176990,3012,27777,452,19456,17718,65147,570829,72194,185176,158336,161766,784145,71859,-,-,288137,159559,111917
Florida,18107049,8786529,9320520,3945497,11093888,3067664,13860017,2777882,53068,439654,10493,613362,352573,3933726,10721487,1795772,3787205,3689887,3299041,14596735,3510314,-,-,5618595,3218050,2739827
Georgia,9204793,4456713,4748080,2424329,5840196,940268,5654433,2763162,22394,289528,4580,331424,139272,767336,5255992,946672,1747120,1594016,1638956,8311215,893578,-,-,3006746,1652209,1457952
Hawaii,1298918,645794,653124,296165,821030,181723,319673,19206,3150,518052,125378,14675,298784,110745,293529,89009,257219,279673,264982,1066699,232219,-,-,447692,238697,169686
Idaho,1496581,746843,749738,412681,905309,178591,1380923,8360,18257,17577,2185,33765,35514,157629,1269097,108605,269053,330607,230456,1408427,88154,-,-,434953,337616,178359
Illinois,12439981,6077101,6362880,3111992,7826079,1501910,8934506,1785649,23784,561188,3115,917343,214396,1910560,8016666,1096195,2271568,2318014,2515603,10722457,1717524,-,-,4014460,2467359,1716051
Indiana,6219801,3048989,3170812,1574689,3866851,778261,5306085,543849,13798,92248,1446,145600,116775,352651,5120532,545704,1473775,1135562,928115,5941311,278490,-,-,1955924,1269183,826054
Iowa,2916252,1440545,1475707,709316,1785442,421494,2686716,76257,9188,48272,902,46893,48024,132374,2612294,188213,665377,608434,483145,2795798,120454,-,-,1011857,599103,258410
Kansas,2725175,1343491,1381684,703054,1674033,348088,2327775,151743,22407,64113,1540,79525,78072,269055,2161312,184824,504319,550308,525912,2551883,173292,-,-,933368,536947,283995
Kentucky,4157077,2029014,2128063,999639,2621027,536411,3691575,309384,8223,44382,2418,38671,62424,113454,3625709,519712,959057,737454,577737,4029469,127608,-,-,1250315,778053,708746
Louisiana,4302475,2082671,2219804,1089785,2697153,515537,2757267,1345476,26695,65892,1329,48624,57192,167045,2652694,508941,966351,711138,594359,4149285,153190,-,-,1314892,800072,711546
Maine,1291988,631503,660485,274800,821352,195836,1236620,13127,6574,12692,401,3932,18642,16138,1226583,91582,321722,258682,245638,1249428,42560,-,-,414743,282380,161059
Maryland,5557115,2673123,2883992,1340443,3562467,654205,3325371,1608321,15558,300359,2745,175586,129175,421981,3112316,443675,978600,960701,1347983,4813573,743542,-,-,2030400,1040425,657780
Massachusetts,6253462,3024012,3229450,1412218,4006774,834470,5112006,403846,11915,322077,1942,263362,138314,566574,4845525,474902,1142029,1025908,1667359,5333327,920135,-,-,2084192,1345403,752853
Michigan,9726785,4753261,4973524,2382082,6068118,1276585,7739376,1352078,52586,236750,2577,140770,202648,411597,7505127,755257,2019977,2051598,1635116,9145316,581469,-,-,2711579,2104547,1552650
Minnesota,5119104,2540056,2579048,1263324,3229269,626511,4440108,246806,52371,199781,2104,73486,104448,227765,4300391,283683,941425,1095616,1079166,4759441,359663,-,-,1743244,1147478,489067
Mississippi,2845365,1367967,1477398,744427,1746155,354783,1714441,1042783,13180,24024,611,22194,28132,66179,1676624,360922,563160,541354,362509,2784523,60842,-,-,834158,484927,515599
Missouri,5744590,2795423,2949167,1399186,3571618,773786,4803920,647139,21899,89356,4860,59178,118238,192395,4687935,510494,1240149,1100179,973487,5533402,211188,-,-,1863736,1128251,746217
Montana,949414,474612,474802,218738,596088,134588,854433,3824,57984,5788,574,5708,21103,26018,838201,56461,199947,206022,181328,931031,18383,-,-,294046,220316,109147
Nebraska,1744704,864233,880471,443095,1073606,228003,1542298,73940,14735,28806,1152,47892,35881,147363,1452207,110051,335393,375244,319305,1640995,103709,-,-,628250,343154,152942
Nevada,2594953,1305056,1289897,647071,1648933,298949,1912830,200387,27717,183147,15163,165316,90393,665278,1447623,266509,506598,563042,377613,2089964,504989,-,-,867800,486971,367484
New Hampshire,1273957,628842,645115,291003,820130,162824,1204811,13063,2679,26749,273,9756,16626,33730,1182114,77880,261264,251654,292687,1206665,67292,-,-,450441,274593,133524
New Jersey,8544303,4142608,4401695,2057016,5371536,1115751,5970058,1123997,19081,690022,2244,568164,170737,1442810,5192145,717839,1714889,1338545,2030758,6787204,1757099,-,-,2872116,1584380,1164305
New Mexico,1970838,964606,1006232,503722,1214007,253109,1405505,37618,183570,27077,1032,256282,59754,894378,816915,215610,343233,387884,328747,1778599,192239,-,-,586844,374293,312232
New York,18710113,9017566,9692547,4311904,11944214,2453995,12436443,2878265,64342,1364525,5025,1573997,387516,3215869,11075065,1926793,3565064,3080664,4130616,14586392,4123721,-,-,6096203,3443006,2942920
North Carolina,9013443,4364401,4649042,2205704,5682159,1125580,6299459,1902482,103339,189649,4890,348505,165119,707269,5981025,964964,1692896,1766829,1590825,8341167,672276,-,-,2868788,1738473,1325597
