State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,851241,367137,482406,282733,490067,77155,432161,360760,4197,8575,334,23490,20269,62691,397806,139511,162261,114233,35201,812458,37068,181482,666945,54839,159631,302501
Alaska,73438,35425,37832,25670,43685,3733,31633,3379,24076,4681,1308,1409,6797,5460,28975,7116,16295,10559,3697,68460,5035,11633,61284,3750,20745,21446
Arizona,1131196,524032,604822,382844,646175,98519,765115,62755,104134,27396,2652,124573,42429,514794,404936,174175,175859,165647,69061,921484,207599,174410,955420,82012,233091,371092
Arkansas,523107,235525,288554,177983,298832,47857,331703,139478,4445,5903,2030,22832,17147,62004,298318,77523,106332,70464,19555,495225,30268,117888,405737,36642,103317,175143
California,5774685,2645618,3133999,1867571,3389590,515394,3178096,502428,62108,607504,21487,1141290,255732,3058497,1436421,1082192,786300,789429,437908,4034666,1739749,831095,4943751,387760,1223913,1984095
Colorado,611440,278763,332748,178947,379774,51202,466028,41719,10308,18245,1274,46177,27140,218311,310959,71721,89532,98416,61970,526922,87428,101915,510979,44933,180106,172009
Connecticut,352089,154483,196726,101608,209188,39358,206606,66826,1510,12724,217,45755,18498,123651,140236,55912,70224,45188,32253,292290,57900,68023,281625,14001,83222,122978
Delaware,111090,47811,63704,34912,65069,11269,59924,37055,574,2990,31,5137,5556,20118,47108,14372,25684,14204,6837,99961,11488,18035,93280,6107,23871,38030
Florida,3078063,1388874,1685230,902008,1769270,397484,2004804,781104,11254,67652,3035,115831,90418,979011,1189285,462150,636594,459623,244733,2336801,728400,541463,2521178,208012,613751,1035138
Georgia,1678497,733762,945043,591372,954332,130906,747284,751807,7163,45117,1219,82487,47430,247542,593936,258104,299936,213048,91760,1499848,176751,278594,1395286,126890,335600,545601
Hawaii,142474,65404,77816,38888,85654,18698,34578,2533,643,35646,31289,1455,37106,19789,29385,15051,32019,25716,14734,114222,29271,25432,117808,8094,31792,49983
