State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4742208,2285415,2456793,1082647,2895675,763886,3247977,1246131,24788,63081,2143,68716,89372,198629,3130185,448724,996375,975841,818893,4577571,164637,777820,3953663,1464756,675825,882432
Alaska,720674,372844,347830,182272,461309,77093,469430,22655,102922,45962,8634,10603,60468,49227,442394,33719,130663,167146,138855,663994,56680,85652,623252,232891,156170,91187
Arizona,6788985,3343145,3445840,1606287,4036030,1146668,5255414,290192,300919,224493,12950,459353,245664,2110760,3753050,590160,1086457,1545239,1332391,5871596,917389,880923,5894346,2070206,1065798,1084180
Arkansas,2903003,1416762,1486241,693376,1738266,471361,2241710,438909,19399,43186,7833,77627,74339,215102,2114972,265184,660651,581649,448098,2762744,140259,503531,2395763,909585,411732,495244
California,38407403,18984090,19423313,8941526,24245865,5220012,23121940,2170653,287707,5523139,149731,5318767,1835466,14959899,14430196,4368985,5286734,7541715,8686197,27971653,10435750,4074333,34259178,12031111,6799629,6436348
Colorado,5409817,2703242,2706575,1242689,3441705,725423,4558267,217210,51779,169282,7900,212469,192910,1157813,3703358,312791,777018,1105343,1499717,4873832,535985,572837,4815286,1937824,995839,644462
Connecticut,3474901,1691013,1783888,743194,2165072,566635,2661703,361174,9248,153947,1120,179085,108624,548176,2350530,226080,653147,598777,960860,2969541,505360,386372,3083732,1174846,633824,450960
Delaware,923678,445211,478467,199681,560888,163109,640045,200544,3382,36248,456,17663,25340,84048,582172,63672,204444,175099,206604,837269,86409,114691,806187,310237,144853,129018
Florida,20178544,9802428,10376116,4083160,12099254,3996130,15258206,3196776,56236,552340,12654,572443,529889,5113554,10982248,1701558,4140176,4354295,4266648,15989109,4189435,2714558,17423128,6311421,3046969,3217679
Georgia,10024689,4836890,5187799,2464981,6237159,1322549,5948805,3122301,32403,393040,5891,277082,245167,945965,5357403,862579,1840918,1887713,2071840,9007262,1017427,1239175,8752764,3349171,1528838,1642338
Hawaii,1383626,688492,695134,300280,841782,241564,340644,23484,2855,528311,139459,14000,334873,142747,301523,78339,267125,309666,319300,1128481,255145,153397,1202787,481680,211076,180619
Idaho,1656621,826169,830452,432934,974017,249670,1499950,10863,21742,23279,2630,52572,45585,204105,1364325,100121,295218,386838,292448,1557046,99575,221337,1431680,501304,306273,215768
Illinois,12523283,6122655,6400628,2885338,7807962,1829983,8997103,1746589,31062,677566,4425,756044,310494,2139522,7728280,921175,2212762,2457394,2944034,10745731,1777552,1376393,11138432,4219839,2141464,1783297
Indiana,6435742,3158143,3277599,1540135,3935452,960155,5392931,591610,14165,136804,2729,141728,155775,438504,5127313,480359,1437104,1264266,1131865,6103863,331879,893522,5539342,2143068,1084512,885876
Iowa,3030572,1501274,1529298,715448,1825019,490105,2740464,102254,10968,72913,3027,38257,62689,177736,2612685,159354,629531,671234,583437,2873181,157391,355234,2673729,1095347,512777,297393
Kansas,2825033,1399974,1425059,704350,1701526,419157,2396756,159083,22443,81593,1933,66638,96587,332372,2156665,167372,476828,593541,618843,2621918,203115,366368,2445511,984619,467540,327916
Kentucky,4302315,2107336,2194979,988973,2644441,668901,3759019,332814,9419,61511,2675,41943,94934,152827,3659383,410975,965744,857592,705519,4138760,163555,753386,3540793,1342196,678640,736487
Louisiana,4531598,2190449,2341149,1092251,2783677,655670,2838120,1441901,25601,78515,1387,57389,88685,226869,2685282,443003,1024085,830535,732632,4343299,188299,681540,3838557,1418546,669400,817134
Maine,1296990,633168,663822,247973,797549,251468,1227854,16599,8046,13906,318,2784,27483,20195,1213926,71234,302786,283481,297783,1250734,46256,207879,1087523,423726,243206,161206
Maryland,5862050,2826793,3035257,1324654,3685596,851800,3301738,1733926,15113,368465,2877,245893,194038,577725,3019158,395255,996963,1039018,1624396,4966808,895242,642558,5198055,2152470,939257,742071
Massachusetts,6593960,3199471,3394489,1359074,4193265,1041621,5186229,489066,14000,420434,2147,275998,206086,762953,4770705,438958,1123713,1093240,2024844,5492499,1101461,777803,5811682,2297376,1246894,816038
Michigan,9731374,4767891,4963483,2153649,5995603,1582122,7666716,1322838,51382,296441,2839,117269,273889,485249,7345930,620588,1922687,2204218,1928539,9071024,660350,1397532,8330177,2995577,1763414,1500326
Minnesota,5403634,2688194,2715440,1269824,3333962,799848,4511242,329941,55114,256859,2102,96339,152037,285062,4347941,252029,906593,1205337,1316825,4949796,453838,589425,4811881,1941919,1029251,504781
Mississippi,2890347,1388726,1501621,709216,1744865,436266,1703279,1081048,13224,27346,626,25838,38986,83744,1652325,297307,578010,616744,426476,2826000,64347,475169,2408192,872130,397626,555782
Missouri,5907190,2884810,3022380,1354337,3608921,943932,4871411,671839,25761,113132,6338,69012,149697,241686,4715911,408788,1226887,1228919,1174145,5665172,242018,867048,5031097,1989508,961296,814689
Montana,1016407,510025,506382,222192,615100,179115,905209,4212,64279,7622,708,5717,28660,37535,879393,46376,204265,231290,221947,994517,21890,138939,874923,324807,196145,118336
Nebraska,1850245,921456,928789,463599,1112480,274166,1621972,86168,16516,42521,1282,34931,46855,197555,1471932,105788,317749,410298,387260,1719836,130409,214927,1630315,687870,305837,168782
Nevada,2881404,1438446,1442958,663702,1783983,433719,1912067,252398,34786,233327,18948,292109,137769,820943,1440339,268358,554655,671230,483873,2318199,563205,367815,2506601,937032,478127,442576
New Hampshire,1300664,643198,657466,257889,823371,219404,1213402,18329,1977,34496,310,6212,25938,45827,1179493,64373,256278,271250,345371,1222131,78533,166408,1132791,476449,238913,141313
New Jersey,8707826,4233650,4474176,1949764,5420398,1337664,5931311,1149224,18261,817388,3181,561423,227038,1741220,4876588,619538,1641469,1406774,2376178,6755375,1952451,911381,7789639,2982391,1447140,1221312
New Mexico,2050855,1007398,1043457,486963,1227609,336283,1531404,40300,195934,30877,1444,185046,65850,995268,775073,197857,361366,435815,376735,1853906,196949,310378,1732999,595568,320154,368303
New York,19108993,9243076,9865917,4067164,12068283,2973546,12205360,2954161,77285,1595984,7613,1687760,580830,3623015,10686279,1780604,3473876,3287627,4865120,14729487,4379506,2208344,16884843,6375062,3164042,2996542
North Carolina,9881292,4779533,5101759,2258876,6092009,1530407,6829742,2096490,117702,275301,6414,302934,252709,915426,6281258,840383,1741330,2105224,2089835,9092636,788656,1344821,8478378,3244989,1579291,1527075
North Dakota,727322,372789,354533,170513,452937,103872,634386,19347,37967,10502,363,7079,17678,25302,619440,34254,127600,175542,143546,698479,28843,78648,643984,277098,130255,62618
Ohio,11319092,5526064,5793028,2571490,6923531,1824071,9252531,1375817,22706,242571,3472,107154,314841,418587,8990904,746260,2574959,2272236,2193222,10809683,509409,1591536,9719893,3731868,1937586,1560462
Oklahoma,3802004,1868904,1933100,939978,2291116,570910,2763168,270539,286124,80672,4193,103664,293644,395602,2518357,298510,781703,791561,643976,3573291,228713,611045,3180036,1240951,567006,585859
Oregon,4004544,1977312,2027232,850481,2481879,672184,3387534,74189,45091,171153,15583,124132,186862,512965,3051292,268147,644501,970662,934284,3603482,401062,581462,3420345,1229346,782069,569081
Pennsylvania,12380149,6033910,6346239,2628648,7600945,2150556,10051561,1341751,23414,412903,3918,249533,297069,871792,9554242,830681,3043511,2139261,2731313,11535360,844789,1739175,10636080,4157903,2052172,1701742
Rhode Island,1016029,494088,521941,205899,642992,167138,823420,65772,5242,33301,824,56610,30860,154384,738740,84248,202790,191910,241997,874931,141098,139815,874163,340598,185995,141604
South Carolina,4814032,2317517,2496515,1078541,2923936,811555,3251527,1289807,16385,72776,2662,76580,104295,265439,3082106,416468,977049,1012070,923176,4579144,234888,710801,4085936,1545767,735076,766741
South Dakota,834921,420157,414764,208127,496521,130273,707885,15016,70995,12285,263,6324,22153,30305,689514,43812,168005,182502,160299,805793,29128,99691,733068,304818,136219,77322
Tennessee,6488786,3150701,3338085,1476498,3995656,1016632,5053623,1076442,17286,110396,3636,89079,138324,345155,4816512,564455,1436684,1253235,1200551,6159614,329172,1006075,5466259,2116178,1005240,1044909
Texas,27264694,13435023,13829671,7210320,16801106,3253268,20309424,3225449,131863,1291927,23043,1572546,710442,10726870,11551909,2888511,4319317,5072546,5196673,22588697,4675997,3141760,24065064,9253546,4127431,4215569
Utah,2997963,1504162,1493801,907686,1774187,316090,2593679,34436,31891,68338,26765,154822,88032,414339,2359859,140171,400943,631916,590402,2744923,253040,289889,2704573,932341,574035,363938
Vermont,600334,295070,305264,115755,374409,110170,567856,6982,2040,9724,177,2160,11395,10444,560101,31338,126210,113585,163311,572850,27484,87518,512294,208674,114915,65693
Virginia,8162107,3980770,4181337,1839399,5119087,1203621,5571296,1539083,21819,521950,5250,203560,299149,750196,5094343,588583,1341777,1525006,2177608,7137912,1024195,947676,7137133,2920790,1315124,1090720
Washington,7161708,3567184,3594524,1607368,4500928,1053412,5453427,260301,91587,598484,46947,305756,405206,894865,4955622,435240,1090705,1664518,1755992,6150757,1010951,911170,6215048,2360150,1310503,1010916
West Virginia,1776501,873758,902743,363711,1076879,335911,1662465,58987,3464,14113,335,6537,30600,25171,1644151,167420,512104,327350,260191,1748657,27844,350362,1425097,508183,256014,355557
Wisconsin,5628213,2788078,2840135,1264564,3466373,897276,4830519,349082,47931,155376,1901,113828,129576,375744,4602002,303674,1188391,1221713,1155628,5346007,282206,667244,4958095,1985961,1029770,599569
Wyoming,567950,288793,279157,135328,347193,85429,520244,5074,13308,4586,505,9001,15232,55308,478905,26563,109412,142969,104249,548157,19793,73998,491728,198312,101356,62115
