State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,17.1,15.1,19,24.2,15.5,11.6,12.1,30.1,22.5,13.6,17.5,28.7,24.2,30.5,11.4,28.5,14.1,9.7,3.5,16.9,22.2,-,-,3.1,21.4,32.3
Alaska,9.5,9.1,10,13,8.6,4.5,6.5,10.8,21.6,9.7,18.5,9.8,12.2,11.6,6.4,16.8,10.3,5.8,2.6,9.5,9.4,-,-,1.4,12.4,19.5
Arizona,15.3,14.2,16.3,21.6,14.2,8.1,13.2,22,33.8,12.4,14.5,22.4,16.8,24.4,9.2,26.7,13.3,8.8,4.2,14,23,-,-,3.3,18.6,31.7
Arkansas,18,16.1,19.8,26.3,16.1,11.6,14.3,33.9,22.3,12.5,43.9,31.8,26.6,30.6,13.7,27.3,14.2,10.9,3.6,17.8,23.1,-,-,3.9,22.7,33.2
California,13.7,12.7,14.7,19.1,12.4,8.7,12,20.5,20.5,10.5,12.3,20.9,12.7,19.9,8.3,22.2,12.5,8.2,4.3,12.8,16.2,-,-,2.9,15.4,27.3
Colorado,12.2,11.3,13.2,16.2,11.3,8.4,10.8,23.4,22,10.8,11.7,24.4,15.1,24.3,8.2,25.2,11.2,8.1,3.9,11.2,21.4,-,-,2.5,17.1,26.6
Connecticut,9.2,8.2,10,12.2,8.6,6.6,6.5,19.2,16.6,7.6,7.3,28.4,15,24.4,5.3,20.6,8.6,6.1,2.7,8.9,10.6,-,-,1.2,11.4,24.8
Delaware,11,9.5,12.3,16.3,9.8,7.3,8.3,19.1,22.4,7.9,1.3,19.3,16.2,23.2,7.1,19.9,9.4,6.1,3,10.8,13.3,-,-,1.8,14.5,24.1
Florida,13.8,12.6,14.9,19.5,12.9,9.9,11.4,24.5,21.5,11.5,17.4,20.3,16.4,18.3,9.6,24.1,12.7,8.6,4.8,13.2,16.3,-,-,2.8,17.5,28.9
Georgia,15.7,14.1,17.2,21.5,13.9,11.8,10.9,23.9,23.5,11,24.3,31.5,18.1,28.1,9.8,28.2,13.8,8.8,3.7,15.4,19,-,-,3.1,19.2,31.1
Hawaii,9.6,8.6,10.6,12.3,9.1,7.5,10.2,9.7,19.7,6.3,18.2,14.3,10.7,13.7,10,16,9.2,7.3,4.4,9.2,11.6,-,-,1.6,12.5,24.6
Idaho,13.6,12.1,15,17,13.1,8,12.8,26.4,26.5,15.9,15.9,23.3,21.9,26.2,11.6,22.1,11.7,8.9,4.4,13,22.5,-,-,3.4,19.2,25.7
Illinois,12.6,11.4,13.9,17.7,11.4,8.7,8.9,28,18.5,10.2,10.4,19,17.5,18.2,8,22.4,11.1,8.1,3.7,12.5,13.8,-,-,2.3,15.3,27.8
Indiana,13.5,12.1,14.9,18.9,12.5,7.7,11.4,28.4,19.4,18.5,18.3,25.8,24.3,25.4,10.9,22.7,10.4,8.1,3.3,13.2,21.1,-,-,2.3,18.1,28.9
Iowa,11.6,10.3,12.9,14.8,11.2,7.7,10.3,35.6,27.3,13.6,40.4,23,27.6,24.4,9.9,20.6,9,7.5,3,11.3,17.8,-,-,2,19.5,28.6
Kansas,12.4,11.2,13.6,16.2,11.7,8.1,10.7,26.1,23.8,13,7.7,25,21.6,24.1,9.7,23.4,10.7,7.7,3.1,11.9,19.8,-,-,2.7,18.9,28.1
Kentucky,17.7,16,19.3,24.3,16.2,12.7,16.2,31.1,28.8,12.9,18.3,32.1,31.5,31,16,31,14,10.1,3.6,17.6,21.3,-,-,2.9,21.3,34.8
Louisiana,18.1,15.5,20.6,26.2,15.9,12.8,11.1,32.2,26.1,16.2,24.5,20.1,24.9,19.4,10.8,28.5,14.3,10,4.1,18.2,17.1,-,-,3.9,21,33.3
Maine,12.6,11.1,14,17,11.8,9.6,11.8,42.6,35.9,16.7,24.7,32.8,24.3,25.5,11.8,25.1,11.9,8.4,3.7,12.4,16.6,-,-,1.7,15.7,31.6
