State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,18,16.1,19.7,26,16.9,10.4,13.3,29.1,17.2,14,15.4,35.8,23.4,32.3,12.7,30.4,16.4,11.8,4.4,17.8,22.5,23.5,16.9,3.8,23.2,33.8
Alaska,10.2,9.5,10.9,14.1,9.4,5.1,6.7,15.2,23.8,10.4,14.9,14.1,11.2,11.4,6.5,20.3,12.7,6.3,2.7,10.3,9.1,14,9.8,1.6,13,23.9
Arizona,17,16,17.9,24,16.3,9,14.8,22.6,35.7,13.1,21.7,26.9,18.4,25.1,10.9,29.7,16.5,11,5.4,16,23.2,20.5,16.5,4.1,22.1,34
Arkansas,18.1,16.7,19.5,25.7,17.2,10.4,14.8,31.9,23.5,14.2,29.1,30.9,24.4,29.6,14.1,28.2,16.1,12.3,4.5,18,21.8,23.6,17,4.1,24.7,34.8
California,15.1,14,16.2,20.8,14,10.2,13.7,23.2,21.9,11.2,14.5,21.8,14.3,20.6,9.9,24.4,15,10.5,5.2,14.5,16.7,20.4,14.5,3.3,17.8,30
Colorado,11.5,10.5,12.5,14.5,11.2,7.4,10.4,19.9,21.1,11.3,15.6,20.7,14.7,19.3,8.5,22.8,11.7,9,4.3,11,16.6,18.1,10.8,2.4,18,26.4
Connecticut,10.1,9.1,11,13.5,9.6,7.1,7.7,18.6,17.1,8.4,24.5,25.9,17.5,23,5.9,24.1,10.7,7.5,3.4,9.8,11.5,17.6,9.1,1.2,12.9,26.6
Delaware,12.1,10.8,13.4,17.4,11.6,7.2,9.4,18.8,17.5,8.3,6.9,28.3,21.7,24.3,8.1,21.8,12.9,8.1,3.4,12,13.5,16.2,11.6,2,16.6,28.3
Florida,15.5,14.4,16.5,22.3,14.8,10.3,13.3,24.8,20.5,12.6,25.1,21.9,18,19.8,10.9,26.9,15.6,10.7,6,14.8,17.9,20.3,14.7,3.4,20.1,31.8
Georgia,16.9,15.3,18.4,24,15.4,10.3,12.6,24.4,24.2,11.9,24,29.9,20.6,26.7,11.1,29.4,16.4,11.4,4.6,16.8,17.6,22.6,16.1,3.9,21.8,32.4
Hawaii,10.3,9.5,11.2,12.9,10.1,8,10.1,11,24.7,6.7,22.5,11.3,11.2,14.1,9.7,18.8,12,8.3,4.7,10.1,11.6,16.6,9.8,1.7,14.7,26.7
Idaho,14.5,13.5,15.5,17.8,14.4,8.8,13.7,32.5,27.9,16.2,32.2,22.5,21.8,22.7,12.8,22.2,14,10.5,5.2,14.2,20.1,19.9,13.7,3.8,21.3,28.9
Illinois,13.5,12.3,14.8,18.8,12.6,8.8,10.1,28.6,19.8,11.4,12.3,19.7,17.6,18.3,8.9,23.4,13.7,10,4.4,13.4,14.2,20.1,12.7,2.5,17.4,30.7
Indiana,14.6,13.1,16,20.4,13.9,7.5,12.1,29.9,19.6,19.9,24.5,29,24.5,25.6,11.5,25.3,12.2,10.1,4.1,14.2,21.3,20.9,13.5,2.9,21,31.5
Iowa,12,10.8,13.2,14.8,12.1,7.3,10.5,34.1,28.1,18.4,27.3,22.4,23.1,22.7,10,22.4,10.7,8.3,3.6,11.6,19.9,19.3,11,2.5,21.3,31.5
Kansas,12.8,11.7,13.9,16.4,12.6,7.6,11.3,24.7,20.9,15.5,27.6,22.1,20.6,22.4,10.1,22.8,12.4,9.3,3.5,12.3,19.3,19.2,11.9,3,20.7,29.2
Kentucky,18.3,16.6,19.9,24.7,17.6,11.1,16.9,29.2,27.7,16.1,21.9,33.1,27.3,29.5,16.7,33.1,16.5,12.5,4.5,18.1,24.1,27,16.5,3.4,23.6,37.6
Louisiana,19.6,17.4,21.6,27.7,18,12.8,12.6,32.9,25.5,15.9,20,28.5,23.1,23.1,12.1,32.3,17.2,12.8,5,19.5,20.6,25.5,18.6,4.7,23.8,36.7
Maine,12.9,11.9,13.8,16.7,12.9,8.8,12.1,42.5,33.6,13.3,31,12.9,25.3,19.9,12,27.1,14.6,9.6,4.2,12.6,20.4,23.3,10.9,1.9,17.8,33.2
Maryland,9.7,8.6,10.7,12.9,9,7.8,7.1,14.1,14.9,7.9,9.4,15,12.2,13.8,6.6,20.4,11,7.3,3.2,9.6,10.2,17.3,8.8,1.5,13.4,24.8
Massachusetts,11.1,9.9,12.2,14.6,10.5,9,8.7,20.6,21.2,14.1,14.3,29.1,18.6,27.6,7.4,24.9,12,8.7,4.2,10.4,14.7,21.2,9.8,1.3,13.7,31.2
Michigan,15.6,14.4,16.7,21.7,15.2,8.2,12.3,31.5,23.2,14.3,21.3,25.4,26.4,24.1,11.9,28.9,14.8,11,4.5,15.4,18.6,22.9,14.4,2.9,20.9,32.5
Minnesota,10.5,9.6,11.3,13.4,10.1,7.2,7.9,31.9,31.5,15.4,19.9,23.4,18.3,20.9,7.5,24.6,10.7,7.6,3.1,9.7,19.3,18.9,9.4,1.9,16.5,28.2
