State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Rhode Island,14.2,12.8,15.5,20.4,13.3,9.7,11.4,25.7,45.5,16.8,20.2,31.6,25.2,33.3,9.5,24.9,13.6,10.2,3.9,13.5,18.6,23.1,12.9,2,16.9,34.2
South Carolina,17.9,16.1,19.6,26.3,16.8,9.8,13,28.8,26.2,14.3,22.6,33.8,26.2,30.4,12.1,31.4,16.3,11.1,4.4,17.8,20.7,23.5,17,3.7,23.9,33.9
South Dakota,14.1,12.9,15.4,18.6,13.2,10.1,9.9,36,48.3,21.1,26.3,24.5,22.4,25.9,9.6,27.3,12.1,9.4,4.3,13.8,23.1,21.6,13.1,3.2,22.3,36.6
Tennessee,17.6,16.2,19,25.6,16.4,10,14.8,28.6,19.5,12.4,26.6,35.6,26.6,33.1,14.1,30.3,15.9,11.2,4.2,17.3,23.6,25.1,16.3,3.5,22.9,34.4
Texas,17.3,15.7,18.8,24.7,15.1,11.1,15.9,23.6,21.5,11.6,15.3,25.6,18.1,25.2,9.2,28.9,14.9,9.9,4.3,16.2,22.6,22.4,16.6,4.4,22.3,31
Utah,12.3,11.4,13.2,14.3,12.2,6.5,10.8,23.2,31.7,17.8,22.3,28.1,17.4,24.8,9.5,23.2,11.2,8.5,4.5,11.5,21.3,17,11.8,3.1,18.4,24
Vermont,11.5,10.5,12.5,15.1,11.5,7.2,11.1,23.9,25.6,15.2,7.3,16,20,15,11,23.8,10.9,9,4.2,11.5,12.4,20.4,10.1,2.1,16.5,30.9
Virginia,11.5,10.3,12.6,15.2,11,7.6,9.2,20,15.7,8.1,9.2,17.8,13.2,15.6,8.7,22.6,12,8.1,3.2,11.5,11.8,19,10.7,2,17.2,26.7
Washington,13.3,12.3,14.3,17.5,12.8,8,11.6,24.8,26.9,12,18.5,27.4,17.2,24.8,10.5,25.1,13.1,10.3,4.4,12.7,16.9,21,12.2,2.1,18.2,28.7
West Virginia,18,16.4,19.5,25.1,18.1,9.1,17.2,32.5,24.8,20.1,28.3,29.7,31.1,24.4,17.2,29.4,14.8,12.4,4.5,17.9,21.3,24.5,16.4,3.3,23.6,34.9
Wisconsin,13,11.8,14.1,17.8,12.4,7.7,10.3,37.4,28.6,17.8,19.9,29.2,25.6,27.1,9.6,24.3,11,8.9,3.6,12.7,18.7,20.9,11.9,2.4,19.2,30.4
Wyoming,11.5,10.1,13,14.6,11.4,6.6,10.5,18.6,29.1,19.2,4.6,24.6,15.2,21,9.8,19.9,10.2,7.5,4.2,11.1,20.9,15.2,11,2.9,19,25.8
