State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,17.5,15.7,19.2,25.1,16.5,10.3,12.8,28.4,16.8,12.9,17.2,36.1,23.4,32.2,12.2,30.1,16.4,11.5,4.4,17.3,21.6,23.3,16.4,3.7,22.9,33.6
Alaska,10.8,10.1,11.5,15.2,10,5.4,7.1,17.3,23.8,12.7,18.9,11.4,12.2,11.1,7,20.4,13.7,6.7,2.9,10.9,10.3,14.7,10.4,1.8,13.8,24.7
Arizona,16.1,15.1,17,22.8,15.4,9,14,21.7,34.9,13,15.3,25,17.6,23.3,10.5,28.3,15.8,10.6,5.3,15.2,21.8,20,15.5,3.8,21.3,32.7
Arkansas,17.6,15.9,19.1,24.7,16.7,10.2,14.4,30.5,23.9,14.2,31,28,23.7,27.5,13.8,27.7,15.9,12.3,4.5,17.5,20,23.4,16.4,4,24.1,34.5
California,14.3,13.2,15.4,19.5,13.2,10.3,13,21.9,20.4,10.7,13.8,20.3,13.4,19.2,9.5,23.3,14.5,10.1,5,13.7,15.8,19.9,13.6,3.1,16.9,29.1
Colorado,10.9,10,11.9,13.5,10.7,7.5,9.9,18.7,20.3,11.4,15.3,18,14.3,17.6,8.2,21.7,11.2,8.9,4.3,10.5,15.1,18,10.1,2.2,17,26.6
Connecticut,10,9,11,13.5,9.6,7.3,7.6,18.5,17,7.8,26.3,26.2,16.3,22.7,5.9,24,11,7.6,3.4,9.8,11.5,18.1,9,1.2,13.1,26.7
Delaware,11.9,10.7,13,17.6,11.4,6.6,9.1,18.9,22.6,9.5,6.6,24.2,21.1,21.3,7.9,20.7,12.2,8.3,3.6,11.8,12.7,16.5,11.3,2.2,16.9,27.6
Florida,14.8,13.7,15.8,21.3,14.1,10.3,12.7,23.5,18.1,12.5,23.4,20.8,16.7,18.9,10.5,26,15.1,10.3,5.9,14.2,17.1,19.7,14,3.3,19.1,31.1
Georgia,16,14.5,17.5,22.9,14.5,10.3,11.9,23.1,25.3,10.7,28.8,27.7,19.4,24.9,10.6,28.4,15.7,10.9,4.5,16,16.3,22.1,15.2,3.7,20.8,31.5
Hawaii,9.9,9.2,10.7,12.5,9.6,8,9.7,11.2,24.2,6.4,21.8,9.7,10.7,14,9.2,18.6,11.7,7.8,4.5,9.7,11.2,15.9,9.4,1.6,14.3,25.8
Idaho,13.8,12.8,14.9,16.9,13.7,9,13,32.1,25.3,15.8,26,20.8,20.4,21.8,12.1,21.1,14,10.1,4.8,13.5,18.8,19.5,13,3.7,20.4,27.5
Illinois,13.1,11.8,14.3,18.1,12.2,8.8,9.8,27.4,16.3,11.4,9.8,18.3,16.8,17.1,8.8,23.2,13.4,9.8,4.3,13,13.5,20.1,12.2,2.4,17,30.3
Indiana,14.1,12.7,15.5,19.8,13.5,7.5,11.7,28.6,19.1,19.8,15.8,27,23.9,24.5,11.2,24.6,12.1,9.7,4,13.8,20.7,20.4,13.1,2.9,20.7,31.2
Iowa,11.7,10.4,12.9,14.2,11.9,7.1,10.2,33.3,24.6,17,29.6,21.8,23,21.8,9.7,21.7,10.7,8.1,3.6,11.2,19.3,18.8,10.7,2.5,21,31.1
Kansas,12.4,11.3,13.4,15.6,12.3,7.6,10.9,24.6,20.2,14.6,23.2,21.2,20.5,20.8,9.8,22.5,12.4,9,3.5,12,17.8,19,11.5,2.9,20.4,28.7
Kentucky,17.9,16.3,19.5,24.4,17.3,10.8,16.6,29.2,27.9,16.6,21.9,32.6,26,28.8,16.3,33.1,16.4,12.2,4.4,17.7,23.5,26.6,16.1,3.4,23.4,37.6
Louisiana,19.4,17.3,21.4,27.4,17.8,12.6,12.7,32.3,24.1,15.2,16.3,26.3,22.4,22.6,12.2,33,17.4,12.6,5,19.4,20,25.5,18.4,4.7,23.4,36.8
Maine,12.5,11.4,13.5,16.3,12.4,8.8,11.7,36.6,34.4,11.3,40.6,13.3,25.1,20.8,11.6,26.8,14.1,9.3,4.2,12.3,17.2,22.8,10.5,1.9,17.4,32.8
Maryland,9.4,8.4,10.4,12.4,8.8,7.6,7,13.6,13.6,7.2,8.1,14.8,11.3,13.5,6.4,20,11,7.2,3.1,9.4,9.8,17.2,8.5,1.6,13.3,24.7
Massachusetts,10.8,9.6,11.9,13.9,10.2,9,8.5,19.7,22.2,13.8,14.3,26.8,17.5,26.6,7.1,24.8,11.9,8.7,4.1,10,14.4,21,9.4,1.2,13.3,31.1
Michigan,15,13.8,16.1,20.8,14.6,8.3,11.9,30.1,22.2,14.3,21.4,23.1,24.7,22.7,11.4,28.5,14.6,10.6,4.3,14.8,17.8,22.4,13.7,2.8,20.3,32
Minnesota,10.1,9.2,11,12.9,9.8,7.2,7.6,30.4,31.3,14.5,18.7,21.8,17.2,20,7.2,24.2,10.7,7.3,3.1,9.4,18.5,18.8,9.1,1.8,15.9,28.3
Mississippi,20.8,18.6,22.8,29.2,19.3,12.7,13,32.7,31.3,13.7,25.1,27.6,26.4,25.9,12.6,32.5,19.4,13.6,5.1,20.8,19.7,26.4,19.7,4.8,24.7,39.3
Missouri,14.2,12.9,15.4,19.5,13.7,8.6,12,26.1,20.3,14.7,31.8,28.8,21.5,23.3,11.7,27.4,13.2,10,4.1,14,19,21.9,12.9,3,20.6,32.1
Montana,13.7,12.8,14.6,16.4,14.2,8.4,12,21.1,34.1,17.8,8.2,14.3,18.5,19.2,11.8,24,14.1,10.9,4.9,13.6,15.3,19.8,12.8,3.4,21.8,31.1
Nebraska,11.6,10.2,12.9,14.8,11.2,7.6,9.9,27.1,31,18.2,22.2,21,19.6,21.6,8.7,22.8,10.9,8.2,3.3,10.9,19.9,18.7,10.6,2.8,19.7,30.5
Nevada,13.7,12.7,14.6,19.1,12.8,8.8,11.5,24.5,26.5,9.2,17.9,19.9,14.9,18,9.7,20.7,13.4,9.8,5.7,13.6,14,18.7,12.9,2.8,17.7,29.3
New Hampshire,7.9,7.1,8.6,10.2,7.8,5.4,7.5,19.8,13.1,10.1,13.2,12.6,12.6,17.8,7.2,17.8,8.5,6.1,3,7.7,10.3,15.4,6.8,1,12.2,23.7
New Jersey,10.4,9.3,11.4,14.8,9.3,8.3,8,18.2,19.3,6.9,25.9,22.2,14.1,19,6.1,22.6,11.3,7.8,3.5,9.8,12.4,17,9.6,2,11.9,24.7
