State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4699510,2266052,2433458,1103587,2916810,679113,3261152,1223705,24518,56929,1344,57645,74217,187691,3142285,499808,979597,940528,738566,4535652,163858,761887,3925728,1400248,738214,905791
Alaska,711235,367688,343547,184647,465535,61053,474471,23750,99490,40553,8135,8022,56814,43501,449447,36542,123813,166419,126746,660136,51099,76059,623534,230597,165563,89516
Arizona,6411354,3151878,3259476,1593984,3854822,962548,5067939,260222,283283,187403,11768,405911,194828,1924763,3664687,580924,1025224,1445773,1156203,5546620,864734,764237,5635636,1852143,1061775,1120143
Arkansas,2862662,1398905,1463757,697357,1739014,426291,2247293,436508,17871,37726,6200,59225,57839,194190,2121869,292308,663880,551224,400619,2729103,133559,481164,2376802,866647,442299,507500
California,37323127,18433287,18889840,9072050,23730035,4521042,23230067,2159056,278123,5057603,144198,4797138,1656942,14280054,14625703,4486532,5050327,7308133,7679953,27133964,10189163,3838697,33405060,10908628,6979963,6907930
Colorado,5079529,2532734,2546795,1218579,3262236,598714,4275479,196129,46955,143577,6271,236605,174513,1061240,3536690,316650,736715,1055808,1289395,4580411,499118,523761,4534624,1711385,1015858,665278
Connecticut,3481115,1693247,1787868,785691,2186767,508657,2712847,349474,7525,140643,1072,175891,93663,498268,2437001,244242,659801,603698,904364,2999442,481673,373629,3102890,1138995,669971,475471
Delaware,891493,429693,461800,201162,553202,137129,624432,189035,3008,31339,485,19906,23288,76726,576489,70700,191616,166326,182039,815354,76139,108689,780002,291754,151837,131584
Florida,18946215,9192121,9754094,3956251,11536759,3453205,14482145,2993544,57319,484603,11794,475029,441781,4451167,10744360,1760917,3938409,4027732,3613721,15194912,3751303,2486500,16420743,5601437,3071863,3333151
Georgia,9637418,4661688,4975730,2454819,6074026,1108573,5857995,2941103,24409,334995,4063,280103,194750,874167,5329604,912617,1783866,1781047,1806496,8693694,943724,1169286,8434927,3011090,1560520,1773782
Hawaii,1355375,676726,678649,301119,847085,207171,336018,24197,2482,521765,135824,14042,321047,128178,305770,85055,261720,301810,287759,1110384,244991,147778,1179341,453674,227783,197687
Idaho,1568375,782876,785499,421836,937246,209293,1441279,8718,19356,21356,2142,37267,38257,181828,1309488,107174,275572,361299,257158,1474332,94043,198756,1367088,446375,317767,217813
Illinois,12566139,6141344,6424795,3011614,7922658,1631867,9137372,1770957,27935,614510,3079,743483,268803,2064281,7915381,1014260,2259897,2422817,2717778,10799696,1766443,1342764,11215834,4025650,2292656,1957636
Indiana,6342824,3109174,3233650,1560702,3929382,852740,5365839,568598,14778,109598,2007,147867,134137,401024,5139033,504881,1465888,1227050,1006092,6038008,304816,847834,5492044,1982916,1164337,960430
Iowa,2978240,1476161,1502079,712464,1819722,446054,2727744,89380,8724,56922,1655,38350,55465,157995,2620217,168692,644276,652173,533965,2839773,138467,342554,2633905,1048475,544809,306498
Kansas,2799551,1385292,1414259,713071,1709876,376604,2394119,157168,22113,70168,1387,63583,91013,308597,2172779,177947,490306,587714,568103,2608202,191349,344116,2442024,953293,496031,338038
Kentucky,4248233,2078608,2169625,996692,2660049,591492,3741396,322163,8497,52145,1948,39747,82337,134663,3659189,464048,966447,808346,636621,4103976,144257,724916,3513437,1267109,716846,786095
Louisiana,4470780,2162149,2308631,1099671,2798025,573084,2827491,1417587,28176,73890,1581,47116,74939,203451,2689491,486080,991471,793996,661446,4294802,175978,671463,3787674,1396212,716504,808316
Maine,1293316,631646,661670,259289,814543,219484,1231242,13696,7258,13953,195,2996,23976,17500,1218465,79342,312725,276450,267900,1247408,45908,204617,1087082,409208,260025,176980
Maryland,5746140,2769098,2977042,1328416,3677556,740168,3344992,1682374,16004,340100,2276,195057,165337,505734,3084457,419368,998970,1020155,1476576,4916234,829906,598197,5128152,2080676,972799,778636
Massachusetts,6424688,3112886,3311802,1384189,4120824,919675,5152072,444495,13230,366371,1512,265073,181935,659538,4828531,459283,1138074,1081946,1811378,5432221,992467,738411,5682151,2140234,1281171,869123
Michigan,9667444,4725289,4942155,2233586,6030548,1403310,7680086,1331426,53291,251125,1779,104803,244934,445797,7383641,685473,1954803,2142586,1741269,9068069,599375,1357550,8306340,2709161,1888331,1708580
Minnesota,5260351,2611040,2649311,1261113,3299007,700231,4488514,278879,53364,226270,2059,76873,134392,257536,4327926,265387,930344,1164120,1188910,4864052,396299,544836,4713444,1808262,1081390,552031
Mississippi,2887236,1386494,1500742,732151,1765257,389828,1721301,1070411,12594,27250,339,22066,33275,76958,1673820,329580,566847,594040,390579,2825205,62031,475918,2404310,841075,426623,578523
Missouri,5847086,2850878,2996208,1377163,3625528,844395,4856962,662814,23246,98045,5706,62318,137995,219068,4720728,457236,1230630,1189085,1067610,5616811,230275,832078,5005304,1877684,1042758,862883
Montana,981707,491636,490071,218931,609444,153332,879101,4267,62478,6383,608,4706,24164,30700,857978,49360,199640,226818,197939,961855,19852,129464,849466,302788,206677,124772
Nebraska,1801893,894431,907462,454094,1102333,245466,1593356,81735,15417,34514,1043,36367,39461,175830,1465887,109439,326809,401186,347378,1684181,117712,199235,1598449,652998,324680,173604
Nevada,2722641,1363490,1359151,651568,1713111,357962,1912135,221612,29222,206645,16946,222287,113794,742583,1437200,273772,521768,615961,415058,2199507,523134,328155,2386365,833520,489822,464272
New Hampshire,1280899,632697,648202,271465,823297,186137,1203367,15016,2447,29462,267,7467,22873,38907,1175688,70527,262190,260073,313551,1209493,71406,152835,1127163,454341,250378,153520
New Jersey,8699566,4225442,4474124,2013852,5475846,1209868,5993329,1150724,18556,768874,2523,549063,216497,1625011,5044277,674956,1703088,1394522,2192225,6811134,1888432,890954,7802550,2878415,1493545,1342648
New Mexico,2039574,1002049,1037525,504947,1244509,290118,1495092,39901,186363,27939,1180,225220,63879,957924,811413,209284,352008,423319,353362,1839261,200313,292055,1740876,589784,338381,371660
New York,19082682,9218142,9864540,4203772,12222997,2655913,12414213,2949680,72647,1491662,6082,1618887,529511,3484189,10932573,1879563,3511642,3265223,4468204,14763224,4319458,2107031,16958689,6191731,3272773,3261015
North Carolina,9496939,4598911,4898028,2253498,5938603,1304838,6636296,2011819,110662,226318,5783,288336,217725,831856,6154945,912486,1709759,1971930,1797364,8766337,730602,1274789,8159319,2933817,1649957,1603364
North Dakota,679912,345113,334799,155542,429443,94927,607214,10032,35650,7679,284,4882,14171,17327,597483,36860,122385,165773,124574,660264,19648,72182,604431,257693,131015,57653
Ohio,11243508,5475809,5767699,2628285,6980022,1635201,9316584,1343767,20078,202586,2776,93706,264011,367447,9085777,825300,2621850,2204243,1982850,10786339,457169,1524727,9710684,3512139,2044312,1731016
Oklahoma,3704019,1819815,1884204,924517,2264492,515010,2724925,259308,266970,69247,4299,94132,285138,348109,2519322,313829,766282,762307,588296,3494173,209846,581019,3111266,1193136,585003,585578
Oregon,3823874,1883011,1940863,842753,2408987,572134,3258652,67393,45485,148819,14033,140945,148547,463483,2974155,274865,645601,923304,801692,3444681,379193,545253,3276003,1071445,822535,613073
Pennsylvania,12346333,6002705,6343628,2697188,7687335,1961810,10158791,1311367,21738,363991,3500,239781,247165,754242,9744224,915890,3138874,2085859,2450017,11584611,761722,1662517,10678522,3952831,2196393,1865713
Rhode Island,1012806,490212,522594,214441,647167,151198,825456,63211,4682,30986,440,60606,27425,136330,761184,99514,192199,188955,222872,877986,134820,131648,879129,323059,199387,151207
South Carolina,4586819,2210160,2376659,1064623,2844244,677952,3097189,1253347,14712,61371,2179,71789,86232,239115,2948248,451330,929348,928373,796604,4365810,221009,654892,3915140,1386440,758028,818844
South Dakota,805676,404009,401667,201321,488599,115756,690446,11903,67650,9080,212,6746,19639,25115,676446,47121,166549,174026,144327,782037,23639,97406,705893,292079,143141,75808
Tennessee,6290532,3050081,3240451,1467811,3932442,890279,4921273,1037416,17164,96034,3207,96180,119258,303904,4734473,624740,1406091,1179346,1052702,5990303,300229,964422,5311276,1938685,1063416,1094687
Texas,25478976,12540741,12938235,6905127,15808387,2765462,19088627,2956317,123181,1054102,21164,1631897,603688,9771713,11302368,2911017,4026629,4725260,4429045,21242506,4236470,2959289,22455347,8352040,4098035,4107162
Utah,2811097,1408423,1402674,876830,1666748,267519,2477054,29615,30916,59491,25948,119122,68951,371621,2246116,144240,376302,603320,501853,2574854,236243,257448,2549717,824614,558360,369764
Vermont,601671,295647,306024,122339,384216,95116,573243,5534,1929,7635,162,1761,11407,9339,566291,35082,130827,111707,152168,576534,25137,82366,518807,203242,127456,69377
Virginia,7939332,3867034,4072298,1836803,5067608,1034921,5520140,1501394,22245,467627,4966,175067,247893,670202,5089616,636381,1339909,1468928,1959115,7003404,935928,876097,6989527,2808109,1328231,1137238
Washington,6765200,3364322,3400878,1561367,4314936,888897,5296683,240037,91807,510202,41656,255870,328945,793799,4834411,445425,1065443,1585070,1495060,5854028,911172,840387,5889007,2103904,1332301,1056752
West Virginia,1799412,883344,916068,373287,1123289,302836,1691837,51640,2901,12586,586,4492,35370,21474,1676500,194187,521006,315770,242180,1774044,25368,350855,1447512,516495,274151,375234
Wisconsin,5571083,2756360,2814723,1291469,3485006,794608,4846671,336573,47054,134075,1255,90533,114922,345246,4620929,337331,1221195,1177716,1051209,5308130,262953,642854,4925715,1853722,1120078,663227
Wyoming,561187,285084,276103,134312,353989,72886,510978,5406,12586,5247,297,11997,14676,52633,477117,28260,109727,142045,95341,542261,18926,67493,491713,199007,109668,59721
