State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,871034,377179,492157,298510,500911,71388,437001,381797,5910,7647,289,17613,19399,60100,399134,154691,150712,109564,29506,831214,38729,189386,679668,50189,176730,300569
Alaska,69700,33487,36045,24743,42007,2889,32102,2713,21404,4234,1277,822,6949,4324,30049,6501,13233,10739,3355,64117,5078,10493,59146,3138,21626,19470
Arizona,1133749,526812,604713,406607,649228,76382,789518,62632,107626,24074,2460,110367,36801,525969,401317,180156,162284,154990,57485,910123,219589,155643,977195,69684,234497,385005
Arkansas,547131,243507,303300,194665,307282,44913,351216,148270,4320,4509,1830,20469,16153,61759,313782,85336,105174,68206,16662,513808,33164,117303,430088,37072,113973,174490
California,5869231,2718511,3173622,2011127,3449050,430685,3272382,511606,66414,582412,22716,1184559,244416,3181775,1436212,1135058,744183,749697,381073,4052705,1833523,779903,5093841,345029,1267880,2048944
Colorado,660342,309101,351378,212192,402558,44998,488728,51127,11260,15136,972,67077,28144,252030,321957,83150,92475,95482,55010,559868,102868,96126,563775,43683,201472,179063
Connecticut,354272,155318,198136,108136,213700,33832,201041,74553,1610,10643,71,51844,15161,123528,142398,57534,67981,44555,27482,296516,56899,66361,288104,15958,85175,123600
Delaware,103311,43866,59883,34860,59373,9222,56463,35328,349,2074,12,5377,4194,17664,45984,16136,19186,11853,5626,92806,10563,17728,85517,5198,24047,33369
Florida,3045095,1386854,1663769,930605,1778918,336836,1945698,827951,13596,59251,1487,125193,81408,916901,1210754,494536,601478,426125,196017,2358374,695414,506619,2545857,187799,645054,1049827
Georgia,1736802,771567,964850,621097,994553,118759,768162,767601,6532,44658,1269,109368,39730,274891,622153,287789,295624,199539,84460,1532695,206022,278901,1455138,110731,353538,588568
Hawaii,150087,67408,82064,46192,88295,14742,36984,2304,676,35253,28375,2153,43873,21210,32565,16173,29438,25354,12900,120740,29334,25442,123869,8124,33075,51841
Idaho,240679,112403,128300,81180,142564,16429,208598,2007,5365,3744,365,10687,9380,49949,173068,26681,36013,38364,14002,219072,21965,40462,199388,15826,72841,61721
Illinois,1769136,790935,981615,605831,1028271,135398,939929,535994,5680,71098,363,168492,49649,420267,707691,253496,293279,236165,114528,1500263,273594,269760,1502863,100070,408360,581537
Indiana,972842,430438,537820,341600,568299,60654,680563,180280,3151,21660,558,47946,34726,116041,621943,135634,174623,122148,37293,896511,71773,180786,789699,52860,246429,297342
Iowa,367428,164236,202060,114672,221220,32383,298952,31301,2538,8111,276,10464,15452,39698,275095,38259,65508,54969,17110,342526,25144,68256,298642,23932,114827,92127
Kansas,381477,172169,211073,133245,221582,27929,288692,41108,5333,9811,246,17323,21084,79096,232451,44166,60638,52576,19470,342955,40627,68190,313656,27570,108962,96533
Kentucky,795411,358084,438695,261026,467471,67243,646135,102983,2532,6977,367,13693,24681,42103,621440,152175,148521,97582,26890,760867,33795,199264,595931,42853,167547,281986
Louisiana,847708,358530,490355,297012,481180,69048,340201,457339,6976,12104,601,11321,18715,41680,314008,145906,152649,95374,30996,815175,33385,167194,680454,58432,172413,277460
Maine,175890,78347,97237,48695,108748,18482,157783,6317,2378,2077,83,1149,5789,5056,155088,21035,43410,26815,11028,167382,8793,48185,127200,8207,47232,57821
Maryland,557937,241367,315696,171389,332129,54330,230045,249314,2555,27543,233,30509,20250,66764,200886,87046,102242,71598,41723,469058,89601,102691,457571,28993,133043,188076
Massachusetts,726755,311855,410921,207128,437630,80543,457767,97126,3224,50289,266,82791,35897,192370,372319,112920,129443,90738,70607,578529,144266,157646,569693,23293,176796,260998
Michigan,1623741,741525,884625,534370,977586,112042,1015269,465624,13500,34861,578,31713,65827,126534,932838,203645,294553,246786,73240,1505927,121028,323456,1298568,79999,401317,553536
Minnesota,600753,274779,323696,185410,357954,54293,398519,96061,19883,38170,300,18447,28342,62404,358674,70489,102977,90793,35845,517779,79670,112019,487555,33882,185083,158821
Mississippi,653957,282347,371211,238627,361859,53088,241193,386934,3891,4049,117,8237,8885,24397,228008,115083,108537,81525,19925,639822,14883,133049,520603,42823,116469,224997
Missouri,903105,403228,495818,298891,528351,73326,635358,192068,5215,15138,1434,18970,33394,57615,599178,126768,162461,126028,44754,856596,46703,189868,709095,56210,223537,277152
Montana,148048,69760,78760,43934,92312,12441,116961,995,22911,1096,81,1415,5306,7908,111824,12242,27112,26182,10256,145148,3339,27439,121279,10225,46485,40111
Nebraska,228794,101002,128008,78442,131561,18743,170551,26609,6010,5822,179,10282,9105,44736,140354,25821,34427,34679,11549,200814,28045,36816,192145,18696,68618,51748
Nevada,403599,188926,214590,140809,234302,27956,255949,54165,6756,19898,3827,44758,17111,162972,146822,62497,65381,59718,21861,312857,89621,57716,346539,24197,90856,133148
New Hampshire,111230,49929,61417,30642,69133,11304,98687,3414,308,3537,18,2057,3074,7442,94175,12162,23657,18515,8551,102735,8662,24800,85670,4965,31128,36169
New Jersey,900378,395118,507767,301769,506863,92200,462577,229360,4153,51505,344,117702,33502,312667,299871,144248,177292,102708,68610,673706,224137,146793,753814,51609,170911,316535
New Mexico,413837,192300,221932,146625,233355,33881,262679,10432,63302,3851,227,60950,12942,241242,93781,69908,63328,57138,20097,355169,57770,69600,343834,30319,85002,131626
New York,2903230,1282889,1618958,916770,1689616,293247,1383026,677026,20120,260690,1254,453952,108507,884204,1064570,534462,501482,330784,222626,2148627,758056,500842,2396844,172838,574308,1044504
North Carolina,1644473,727977,916108,560421,960339,125465,868343,548373,33316,29413,859,109031,55227,274622,722334,285982,258231,218823,71344,1466350,174328,300860,1342068,101454,384061,526751
North Dakota,79204,35344,44411,21365,47973,10069,57318,3266,14011,1685,31,552,2447,3404,55317,8078,12495,12345,4021,74507,4864,14058,65500,6024,26379,17424
Ohio,1774452,792569,980001,604387,1040415,127779,1185610,452132,5556,24444,382,26988,75158,105175,1129531,237410,339159,240703,77502,1692669,82685,364957,1408395,90552,428202,575898
Oklahoma,620465,275727,343943,217890,353088,47791,376814,78809,59150,10032,1239,25079,66017,95227,321901,85633,113212,84514,24099,572168,45834,130481,487169,44967,138927,188499
Oregon,614475,287781,327140,183614,385899,45102,476026,22766,12912,23023,4687,44589,29180,126198,406190,73613,93908,114736,45347,533280,82036,117902,496429,32042,181201,191416
Pennsylvania,1638401,718240,918354,510614,967429,159756,1047846,372506,5021,57161,854,89436,62427,233995,938665,231008,361900,182077,88340,1516848,126508,361363,1280290,78821,368440,577096
Rhode Island,137479,61134,76183,42191,81460,13468,86546,18097,1462,4959,57,20633,5796,43054,68991,23076,24306,16365,8417,112140,25203,28549,108381,5838,31280,49283
South Carolina,821272,356455,463063,280662,474707,66813,398416,367402,3838,7098,664,23572,20267,73189,353443,143266,145322,100143,31836,772919,47836,151076,668167,47960,179115,271162
South Dakota,112249,51823,60016,36304,63383,12406,68409,3140,33153,1580,15,1243,4706,6077,65137,12764,18957,16764,6152,107548,4719,20886,91483,8062,31978,26385
Tennessee,1098750,490447,610935,371559,641947,87717,720421,299234,3874,12332,573,32566,30703,98531,660464,191518,215852,127241,41779,1029573,73194,242207,860180,61403,243466,370505
Texas,4405725,1984058,2427456,1730748,2393018,299738,2987175,700719,27763,120782,3836,468169,104628,2506359,1032981,850550,585203,447706,174904,3428096,982822,665009,3752335,361171,926715,1258161
Utah,351347,163593,186318,127531,206867,16715,271791,8489,9714,11074,6609,31524,11616,93459,215306,35155,42270,50715,21861,296983,53397,42942,306480,25037,105439,87737
Vermont,70947,31949,38788,18347,45487,6884,65385,1413,509,1276,0,234,2271,1385,64072,8541,14431,9985,6299,67469,3221,17861,52948,4071,21969,21415
Virginia,887517,382177,504046,272606,537984,76744,493003,295309,3483,37340,673,29584,30978,99509,431246,144751,150344,108647,57083,785252,104980,162526,725992,53017,222543,289816
Washington,895947,411935,481068,277132,547504,66446,609599,58541,24035,59474,6554,81498,53236,207887,501027,116709,132321,151734,61011,730498,161719,169666,723356,43635,241350,293978
West Virginia,322250,142965,178049,93919,198623,28422,289909,16129,973,2434,112,957,10728,4682,287365,59740,74137,35411,9920,316108,4805,86379,235257,17165,64820,126385
Wisconsin,722094,327054,398482,235425,428243,60233,504328,128228,13385,23525,244,23940,29047,91858,448535,83545,131678,101215,34748,672264,49096,131463,590688,44294,214475,193068
Wyoming,63967,28852,34993,21002,38403,4489,53214,1099,3470,818,33,2063,2906,10121,47003,5492,10611,10097,3887,60265,3614,10699,53080,5168,20231,14581
