State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,18.4,16.5,20.2,26.5,17.3,10.6,13.6,30.1,18.5,14,20,35.5,24.5,32.6,12.9,30.9,16.3,12.2,4.4,18.2,23.1,23.8,17.4,4,23.6,34
Alaska,10.1,9.4,11,14.4,9.3,4.5,6.5,16.4,23.3,10.9,14.8,12.7,12.4,12.2,6.3,19.5,12.1,6.1,2.7,10.2,8.8,14,9.8,1.5,12.7,23.9
Arizona,17.7,16.7,18.7,25.3,17,8.9,15.5,23.8,36.4,14,24.1,28.4,19.2,26.9,11.2,31,16.8,11.2,5.5,16.7,24.6,21.1,17.3,4.2,22.7,35
Arkansas,18.8,17.2,20.3,26.8,17.8,10.5,15.5,33.1,23.9,13.9,29.5,31.4,25.7,30.8,14.6,28.9,16.4,12.6,4.4,18.6,23.1,24.2,17.7,4.2,25.3,35.5
California,15.8,14.7,16.9,21.9,14.7,10.3,14.3,24.2,23,11.6,16,23.6,15.3,21.9,10.1,25.3,15.5,10.9,5.3,15.2,17.6,21.1,15.2,3.4,18.5,30.7
Colorado,12.2,11.2,13.1,15.7,11.8,7.4,10.9,22.6,22.9,11.7,20.5,23.7,15.1,21,8.8,24.2,12,9.2,4.4,11.5,17.9,18.8,11.4,2.6,18.8,26.9
Connecticut,10.4,9.4,11.3,14.1,9.8,7.1,7.8,20.3,17.7,7.6,12.3,26.6,18.5,24.5,6,24.1,10.9,7.8,3.3,10.1,11.7,18,9.4,1.3,13,27.1
Delaware,12,10.7,13.3,17.6,11.4,7,9.5,18.4,12.7,7.5,7,26.6,20.8,26,8.1,22.5,11.5,8,3.5,11.9,13.5,16.2,11.5,2,16.7,27.4
Florida,16.1,15,17.1,23.3,15.4,10.4,13.7,26.2,21.1,12.5,22.2,23.7,19,20.9,11.3,27.7,15.9,11,6,15.4,18.7,20.8,15.4,3.5,20.8,32.5
Georgia,17.8,16.2,19.3,25.4,16.2,10.4,13.1,25.8,28,13.2,27.1,32,20.9,28.7,11.6,30.3,16.9,11.9,4.8,17.6,19,23.5,17,4.1,22.6,33.3
