State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,18.9,17,20.7,27.5,17.6,10.8,13.8,31.6,21.8,13.6,12.2,37,27.4,33.9,13,30.8,16.1,12.2,4.3,18.7,24.1,24.7,17.9,3.9,24.1,34
Alaska,10.1,9.3,11,13.8,9.3,5.1,6.7,14.7,22.6,11.7,15.9,11.9,12.6,9.6,6.7,19.2,11.5,6.2,2.7,10,10.8,14.2,9.8,1.4,12.8,23.7
Arizona,18.2,17.3,19.2,25.9,17.5,8.6,16,24.7,38.5,13.7,27.5,29.3,19.9,28.1,11.3,31.8,16.7,11.3,5.3,17.1,25.8,21.4,17.8,4,22.8,35.5
Arkansas,19.2,17.5,20.8,27.7,17.9,10.5,15.8,33.8,22.5,12.7,35.8,31.2,28.8,31.6,14.9,28.4,16.2,12.6,4.4,18.9,24.6,24.2,18.2,4.3,25.5,35.2
California,16.4,15.3,17.4,22.7,15.1,10.2,14.7,24.8,24.1,11.9,16.9,25.3,16,23.1,10.2,26.1,15.7,10.9,5.3,15.6,18.5,21.3,15.9,3.4,18.8,30.9
Colorado,13.1,12.2,13.9,17.1,12.6,7.6,11.5,25.1,24.4,11.2,18.7,28,16,23.5,9.3,25.5,12.8,9.4,4.5,12.3,20.2,19.2,12.4,2.5,20,27.3
Connecticut,10.5,9.5,11.4,14,10,7.1,7.7,21.4,22.2,8.5,12.2,29,18,25.6,6,23.3,11,7.7,3.3,10.3,11.9,18,9.6,1.4,12.9,27
Delaware,12,10.6,13.4,17.4,11.3,7.1,9.3,19.3,20.5,6.7,2.7,27.2,18.7,24,8.2,23,10.7,7.6,3.4,11.8,14,16.1,11.5,1.9,16.3,26.6
Florida,16.7,15.7,17.6,24.1,16.1,10.2,14,28.1,23.9,13,16.9,26.8,20.2,21.8,11.6,28.4,16.1,11.1,5.9,16,19.4,21.2,16,3.5,21.3,33
Georgia,18.5,16.9,19.9,25.9,16.9,10.8,13.5,27,28.1,13.5,33.3,35.9,21.8,31.2,12,31.3,17.2,12,4.9,18.2,21.1,24.5,17.7,3.9,23,34.1
Hawaii,11.3,10.3,12.4,15.4,10.9,7.4,11.2,10,22.9,6.8,22.8,16.4,13.9,17,10.8,19,12,8.7,4.7,11.1,12.3,17.7,10.8,1.8,15.2,27.1
Idaho,15.6,14.5,16.6,19.4,15.5,8.4,14.6,24.8,31.6,18.6,16.2,31.1,25.9,27.3,13.5,24.4,13.7,10.7,5.7,15.1,23.6,20.9,14.9,3.8,22.7,29.3
Illinois,14.4,13.2,15.6,20.4,13.3,8.6,10.6,30.7,21.8,12.3,11.4,22.7,19,20.8,9.2,24.9,13.5,10.2,4.5,14.2,15.7,20.7,13.7,2.6,18.1,30.6
Indiana,15.5,14.1,16.9,22.1,14.7,7.2,12.8,32.2,22.3,21.3,25.2,32.6,27.1,29.5,12.2,26.6,12.1,10.4,4,15.1,23.7,21.8,14.6,2.8,21.4,31.7
Iowa,12.6,11.4,13.7,16.1,12.4,7.4,11.1,37.2,29.4,17.8,20.4,25.7,27.1,25.5,10.6,22.5,10.4,8.7,3.5,12.2,20.1,19.9,11.6,2.4,21.2,31.2
Kansas,13.8,12.6,15,18.5,13.2,7.5,12.1,26.1,23.7,15.4,30.6,26.3,23.9,26,10.7,24.5,12.6,9.3,3.6,13.2,21.6,20.1,13,3,21.7,29.8
Kentucky,18.9,17.5,20.3,26,17.9,11.4,17.4,32.3,29.6,15.8,31.3,35.5,30.3,32.4,17,32.3,16.1,12.5,4.3,18.7,25.1,27.9,17.1,3.5,23.3,36.7
Louisiana,19.6,17.3,21.7,27.8,17.8,12.4,12.5,33.3,23.5,17.7,11.3,25,25.5,22.4,12,30.8,16.2,12.6,4.9,19.5,20.5,25.4,18.6,4.5,24.2,35.9
Maine,13.9,12.7,15,18.8,13.7,8.8,13.1,48,34.7,13.6,31.8,18.8,27.6,28.6,13,26.4,14.6,10.2,4.4,13.6,21.2,24.2,12,2.1,18.4,33.7
Maryland,10,8.9,11,13.2,9.3,7.6,7,15.2,15.4,8.3,12.9,15.6,12.9,14.1,6.6,20.7,10.8,7.4,3,9.8,11.2,17.6,9.1,1.5,13.8,24.9
Massachusetts,11.6,10.3,12.7,15.1,10.9,9.1,9,22.4,25.2,14.5,11.9,32.4,20.3,30.2,7.8,25.4,11.8,8.6,4.2,10.9,15.4,21.8,10.2,1.2,13.9,31
Michigan,16.9,15.8,18,23.7,16.4,8.1,13.3,34.7,25.2,14.3,20,28.3,28.5,28.1,12.8,29.3,15.2,11.7,4.5,16.7,20.5,24.1,15.7,3.1,21.3,32.7
Minnesota,11.5,10.6,12.4,14.8,11,7.8,8.9,36.5,36,16.6,20.2,25.4,22,24.4,8.3,26.1,11.2,8.1,3.2,10.8,20.5,21,10.4,1.9,17.3,29
Mississippi,22.6,20.3,24.8,32.2,20.7,13.6,14.1,36,28.2,15.1,35.7,35.4,28.8,32.1,13.7,33.9,19.2,14.3,5.3,22.6,23.7,27.9,21.7,5.2,26.7,39.6
Missouri,15.6,14.4,16.8,21.5,14.9,9,13.2,29.3,23.4,17,23.2,31.4,24.8,26.5,12.9,27.8,13.6,11,4.4,15.4,20.8,23.3,14.3,3,21.4,33.2
Montana,15.3,14.2,16.3,19.9,15.4,8.3,13.5,24.9,36.6,17.9,17.4,24.1,21.2,26.6,13.2,24.4,14.2,11.6,5.3,15.3,16.9,21.1,14.4,3.3,22.9,32.7
Nebraska,12.9,11.5,14.2,17.6,12.1,7.8,11,33,43.2,16.7,20.3,23.4,22,26.2,9.7,24.7,10.8,8.6,3.5,12.1,24.1,19.6,12,2.8,21,31
Nevada,15.6,14.6,16.6,22.4,14.5,8.3,13.7,26,27,10.6,24.9,23.3,15.7,22.6,10.8,23.1,13.6,10.4,5.8,15.2,17.1,19.1,15.1,3.1,19.3,30.4
New Hampshire,8.9,8,9.7,11.6,8.6,5.9,8.5,18.2,14.8,11.1,6,20.9,15.7,19.7,8.2,17.6,9.1,7,3,8.7,11.2,16.6,7.8,1.2,12.7,24.3
New Jersey,10.7,9.7,11.7,15.4,9.7,7.9,8,20.2,22.9,6.8,12.8,23.7,16.5,20.4,6.1,21.9,10.9,7.7,3.4,10.3,12.5,17,10,1.9,12,24.4
New Mexico,20.9,19.7,22.1,29.4,19.5,12.2,18,25.3,35.3,13.1,18.6,28.4,21.9,25.8,12,33.9,18.7,14.5,6.2,20,29.5,24.9,20.3,5.3,26,36.8
New York,15.6,14.2,16.9,22.1,14.3,11.4,11.3,23.5,26.8,18.4,20.7,29.3,21.7,25.9,10,28.8,14.9,10.6,5.2,14.8,18.2,24.3,14.5,2.9,17.8,33.1
