State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,18.6,16.7,20.3,26.9,17.2,10.8,13.4,31.4,23.9,13.8,21.8,32.4,27.7,32.6,12.7,30.1,15.5,11.8,4.1,18.4,23.4,24.8,17.4,3.6,23.4,33.7
Alaska,9.9,9.2,10.6,13.4,9.1,5,6.8,11.4,21.8,10.9,16.3,10.1,12.6,10.5,6.7,17.6,10.9,6.5,2.7,9.8,10.2,13.8,9.6,1.4,12.7,22.2
Arizona,17.9,16.9,18.8,25.5,17,8.3,15.7,24.5,38.5,13.4,21.3,28.1,19.8,27.9,11,31.1,16.1,10.9,5.1,16.6,25.8,21.1,17.5,3.8,21.9,35.2
Arkansas,19.2,17.5,20.8,27.9,17.7,10.8,15.7,34.2,24.6,12.2,32.5,33,28.4,32.8,14.8,28.4,15.9,12.5,4.3,18.9,25.3,24.4,18.2,4.3,25.1,35.1
California,15.9,14.9,17,22.1,14.7,9.9,14.2,23.8,24,11.8,15.9,24.8,15.4,22.7,9.8,25.4,15,10.4,5.1,15.1,18.2,20.8,15.4,3.2,18.1,30.3
Colorado,13.2,12.4,14,17.5,12.5,7.9,11.6,26.8,24.4,10.9,15.6,28.2,16.6,24.3,9.2,26.2,12.7,9.2,4.4,12.4,21.1,19,12.6,2.6,19.8,27.4
Connecticut,10.2,9.2,11.1,13.6,9.8,6.8,7.4,21.6,19.7,7.8,5.6,29.5,16.9,25.6,5.8,22.9,10.3,7.4,3.1,9.9,11.9,17.9,9.3,1.4,12.6,26.7
Delaware,11.7,10.3,13.1,17.3,10.8,7,9.1,19,12,6.9,2.1,26.2,18.6,23.8,8,22.6,10.1,7.2,3.2,11.5,13.9,16.2,11.1,1.8,15.6,25.8
Florida,16.3,15.3,17.3,23.6,15.6,10.1,13.6,28.2,24,12.6,13.6,26,19.4,21.3,11.3,27.9,15.5,10.8,5.6,15.7,19,20.9,15.7,3.4,20.8,32.3
Georgia,18.2,16.7,19.6,25.3,16.5,11.2,13.2,26.5,27.5,13.9,29.4,37.7,21.2,32.2,11.7,31.4,16.7,11.4,4.8,17.8,22.1,24.4,17.4,3.7,22.5,33.9
Hawaii,11.2,10.1,12.2,15.4,10.5,7.4,11.2,10.4,24.2,6.8,21.5,15.1,13.7,17.2,10.8,18.6,11.4,8.5,4.6,11,12.1,17.8,10.6,1.8,14.4,26.9
Idaho,15.5,14.5,16.5,19.3,15.3,8.2,14.6,23.9,28,19,16.8,29.2,24.7,28.3,13.3,24.5,13.2,10.8,5.6,15,23.8,20.9,14.7,3.6,22.5,28.9
Illinois,14.1,12.9,15.3,19.9,13,8.5,10.3,30.2,21.2,11.9,12.9,22.1,19.3,20.7,8.9,24.5,13,9.8,4.3,13.9,15.6,20.4,13.4,2.5,17.5,30.1
Indiana,15.4,13.9,16.7,21.8,14.5,7.3,12.7,32,21.9,21.1,31.3,32.7,26.8,29.7,12.1,26.2,11.9,10.1,3.8,14.9,23.9,21.8,14.4,2.7,20.7,31.3
Iowa,12.4,11.2,13.5,16.1,12.2,7.4,11,36.8,29.7,15.2,21,25.2,27.8,26,10.5,22.1,10.1,8.5,3.3,12.1,19,20,11.4,2.3,20.7,30.8
Kansas,13.7,12.5,15,18.7,13,7.6,12.1,26.7,23.9,14.5,14.5,26.9,23.8,26.3,10.7,24.7,12.3,9,3.5,13.2,21.8,20.1,12.9,2.9,21.6,29.5
Kentucky,18.8,17.3,20.3,26.1,17.6,11.7,17.3,32.3,30.5,13.9,19.4,34.1,32.2,32.1,17,32.1,15.4,12.3,4.3,18.6,24.1,27.9,17,3.4,23,36.2
Louisiana,19.1,16.7,21.4,27,17.3,12.4,12.1,32.6,25,16.8,28.7,23,25.8,21.4,11.7,29.9,15.5,12.2,4.8,19.1,19.6,25.1,18.1,4.2,23.6,35.4
Maine,13.6,12.4,14.7,18.5,13.3,8.7,12.8,46.5,34.1,15,34.4,35,25.5,29.9,12.7,25.9,13.8,9.8,4.2,13.4,19.9,23.6,11.7,2,17.8,33
Maryland,9.8,8.8,10.7,12.9,9.1,7.6,6.9,15,15,8.4,10.9,15.9,12.8,13.8,6.5,20.5,10.3,7.1,2.9,9.6,11.1,17.5,9,1.4,13.6,24.8
Massachusetts,11.4,10.1,12.5,14.9,10.7,9,8.9,22.4,25.8,14.3,15.8,32,20.7,30.3,7.7,24.6,11.4,8.4,4,10.7,14.9,21.6,10.1,1.1,13.7,30.6
Michigan,16.8,15.7,17.9,23.6,16.2,8.2,13.2,34.9,25.4,14.3,29,30.3,27.9,29,12.6,28.9,15,11.6,4.3,16.6,20.4,24.2,15.6,3,20.7,32.4
Minnesota,11.5,10.6,12.3,14.7,10.9,8,8.9,35.8,36.4,17.5,13.8,24.5,22.2,24.9,8.3,26.1,11,7.9,3.1,10.7,20.7,21,10.4,1.9,16.9,28.9
Mississippi,22.7,20.4,24.8,32.4,20.5,14,14,36.4,30.7,15.1,45.2,37.4,26.7,32.3,13.6,34.2,19.1,14,5.2,22.7,23.9,28.1,21.7,5.1,26.7,39.3
Missouri,15.5,14.2,16.6,21.6,14.6,8.9,13.1,29.2,23.9,15.9,24,30.3,25.1,27.1,12.7,27,13.2,10.7,4.3,15.3,20.5,23.1,14.2,3,21.1,32.8
Montana,15.2,14.3,16.2,20.1,15.2,8.4,13.4,26.9,37.1,18.3,13.4,25.6,22.5,27.1,13.1,24,13.6,11.7,5.3,15.2,17.5,21.3,14.4,3.4,22.2,32.7
Nebraska,12.8,11.4,14.2,17.4,12,7.8,10.8,33.4,38.4,17.6,15.7,25.3,23.9,26.4,9.6,23.7,10.5,8.7,3.4,12,24.6,18.9,12.1,2.9,20.8,30.3
Nevada,15,14,16,21.6,13.8,8.2,13.3,25,23.6,9.9,23.2,22.7,16.1,22.5,10.2,22.9,12.7,9.9,5.4,14.4,17.3,18.7,14.6,2.9,18.6,29.6
New Hampshire,8.7,7.9,9.5,11.1,8.4,6.3,8.2,23,12.4,12.5,8.5,24.1,14.9,20,8,17,9,7.1,2.8,8.5,12.4,16.5,7.6,1.1,12.1,24.1
New Jersey,10.4,9.4,11.4,14.9,9.3,7.8,7.7,20,20.7,6.9,13.8,22.6,15.7,19.8,5.9,21.1,10.4,7.4,3.2,9.9,12.1,16.7,9.7,1.8,11.4,23.9
New Mexico,20.4,19.3,21.5,28.9,18.8,12.1,17.7,26.4,34.1,14,16.3,26.7,20.8,25.5,11.5,33,18.1,13.7,5.8,19.4,29.2,24.4,19.8,5.1,24.9,36.4
New York,15.3,14,16.5,21.7,13.9,11.3,11.1,23.1,28.4,18,17.6,29,22,25.9,9.7,28.3,14.3,10.2,5.1,14.6,17.8,24.1,14.2,2.8,17.5,32.5
North Carolina,17.5,16,18.9,24.9,16.3,10,13.2,27.6,30.6,13.6,16.8,37.4,26.3,34,11.8,30.8,15.2,11.3,4.1,16.9,24.2,24.1,16.6,3.5,23,33.5
North Dakota,11.9,10.5,13.5,14.1,11.4,10.8,9.6,38.1,39.6,24.2,10,12.7,18.9,22.4,9.4,21.1,10.5,7.6,3.3,11.5,27.5,19.6,11.1,2.4,20.1,31.4
Ohio,15.8,14.5,17,22.8,14.9,8,12.7,33.8,28.1,12.5,17,29.9,30.1,29.6,12.4,28.1,12.9,11,4,15.7,18.4,24.2,14.5,2.6,20.5,33.4
Oklahoma,16.9,15.3,18.4,23.7,15.7,9.5,13.9,30.8,22.8,15.2,29.6,27,23.4,28.4,12.8,26.9,14.9,11.2,4.2,16.5,22.5,22.7,15.8,3.8,23.4,33
Oregon,16.2,15.4,17,21.7,16.1,8.2,14.7,34.1,28.2,15.9,32.4,31.4,20.7,27.9,13.7,26.9,14.7,12.5,5.8,15.6,21.9,22.5,15.2,3,21.8,32.1
Pennsylvania,13.3,12,14.5,18.8,12.6,8.3,10.3,28.6,26.1,16.3,26.5,37.6,26.9,32.3,9.6,24.7,11.5,8.8,3.7,13.1,17.1,22,12,2,16.5,31.4
Rhode Island,13.6,12.5,14.6,19.5,12.6,9.1,10.5,28.9,33.1,16.3,18.6,32.7,22.5,32.7,9,23,12.8,8.7,3.8,12.8,18.7,22.4,12.3,1.8,15.6,33.2
South Carolina,18.1,16.3,19.7,26.4,16.8,10.3,13,29.5,26.9,12,33.6,33,25.2,31.5,12.1,31.2,15.9,11,4.1,17.9,21.8,23.8,17.2,3.5,23.3,33.7
South Dakota,14.1,13,15.1,18.2,13.1,11,10,29,48.9,19.1,6.9,18.3,26,26.1,9.7,26.5,11.4,9.8,4.4,13.9,21.1,21.9,13.1,2.8,22.3,35.4
Tennessee,17.6,16.2,19,25.3,16.4,10.2,14.7,29.1,24.1,13.2,19,35.7,27.9,33.5,14,29.9,15.5,10.9,4.1,17.3,25.1,25.5,16.3,3.2,22.5,34.3
Texas,17.6,16.1,19.1,25.3,15.4,11.3,16,24.2,22.2,12,18.9,26.9,18.2,26.3,9.2,29.2,14.8,9.7,4.1,16.4,23.8,23,17,4.4,22.7,31.5
Utah,12.7,11.8,13.5,14.7,12.6,6.5,11.1,28.7,31.8,19.4,25.8,28.6,17.9,25.9,9.7,24.4,11.3,8.6,4.5,11.7,23.4,17.2,12.2,3.1,18.8,24.5
Vermont,11.8,10.8,12.7,14.8,11.8,7.5,11.4,26.1,28.9,17.4,0,14.3,19.8,15.3,11.3,23.7,11,9,4.2,11.7,13.1,21.9,10.2,2,16.9,31.5
Virginia,11.3,10,12.5,14.9,10.7,7.7,9,19.8,14.8,8.3,12.9,16.9,13.4,15.5,8.5,22.3,11.3,7.5,3,11.3,11.6,18.9,10.5,1.9,16.8,25.9
Washington,13.4,12.4,14.3,17.8,12.8,7.8,11.6,25,26.4,12.1,16.5,31.4,16.9,27.1,10.4,26.2,12.5,9.7,4.2,12.6,18.2,20.8,12.4,2.1,17.9,28.5
West Virginia,17.9,16.2,19.4,25,17.6,9.6,17.1,31.7,36.2,19.8,18.5,23,31.3,22.6,17.1,29.8,14.3,11.2,4.2,17.8,19.7,24.9,16.2,3.3,23.1,34.1
Wisconsin,13,11.9,14.2,18.1,12.3,7.8,10.4,38.4,28.5,18.2,19.5,28.7,26.3,27.3,9.7,24,10.7,8.7,3.4,12.7,18.8,20.9,12,2.4,18.8,29.7
Wyoming,11.5,10.2,12.8,15.7,10.9,6.4,10.5,23.5,27.3,17.7,20.1,16.9,19.3,19.8,9.9,19.8,9.6,7.2,4.2,11.2,19.9,16,10.9,2.6,18.4,25.2
