State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4711439,2270620,2440819,1097457,2914426,699556,3257503,1230563,23235,58145,2404,60037,79552,189334,3139504,486352,984272,950631,758370,4547226,164213,769376,3931107,1411616,718317,910997
Alaska,716218,371423,344795,184846,466772,64600,474449,23551,98307,42484,8654,8878,59895,45979,448648,35368,126428,166415,129144,662718,53500,77713,626949,232289,165154,89054
Arizona,6488917,3190245,3298672,1590936,3890111,1007870,5103360,266435,286785,195950,11589,419214,205584,1963396,3681199,585526,1038179,1464781,1193980,5611619,877298,796770,5680622,1893571,1056573,1121008
Arkansas,2872497,1402332,1470165,695223,1739877,437397,2247958,437724,17951,39629,6743,61276,61216,199360,2119865,286846,664476,557237,412017,2735896,136601,488415,2379825,872569,432062,512434
California,37678735,18611425,19067310,9037306,23940179,4701250,23332028,2165064,277902,5185367,146948,4880605,1690821,14494492,14604631,4484655,5127852,7394814,7909087,27391102,10287633,3933684,33668186,11162742,6949329,6879913
Colorado,5161722,2574135,2587587,1225562,3306891,629269,4355553,201944,47194,150476,7313,221051,178191,1086819,3575722,313322,743026,1071665,1337535,4653097,508625,536526,4603005,1761895,1009729,665518
Connecticut,3483303,1694413,1788890,774939,2187993,520371,2703366,353868,8395,145253,939,174684,96798,512196,2416883,237880,656279,605098,921180,2992037,491266,378555,3100155,1148170,661811,474415
Delaware,900820,433970,466850,200960,556611,143249,627674,191587,2978,33142,290,20551,24598,79047,577919,69735,191993,170576,188681,821398,79422,110302,787940,296999,150616,131234
Florida,19228208,9328522,9899686,3975989,11667122,3585097,14666794,3050172,52869,502595,10690,485344,459744,4592774,10799808,1742003,3986853,4110455,3763599,15390010,3838198,2547718,16642430,5751941,3059151,3322975
Georgia,9737146,4707765,5029381,2458711,6117879,1160556,5894929,2981866,25028,351037,4390,272426,207470,891906,5342012,904196,1797835,1807780,1864881,8775043,962103,1193089,8511090,3075591,1549825,1765965
