State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,17.6,15.6,19.3,25.1,16,11.2,12.4,30.6,22.2,13.1,19,31.2,25.3,31.2,11.7,28.6,14.6,10.4,3.6,17.4,22.8,-,-,3.2,22.2,32.6
Alaska,9.5,9,10,12.8,8.7,4.9,6.6,10.6,21,10.1,17.7,7.5,12.6,10.3,6.5,16.9,10.6,5.9,2.5,9.5,10.1,-,-,1.2,12.5,20.8
Arizona,16.2,15.3,17.1,22.9,15.1,8.2,14.1,22.7,35.1,12.5,18.9,24.8,17.6,25.8,9.8,28.7,14.1,9.5,4.5,14.9,24.3,-,-,3.6,19.7,32.8
Arkansas,18.4,16.5,20.1,26.8,16.6,11.3,14.7,34.1,25,12.6,41.8,30.9,27.9,31,14,27.6,14.8,11.6,3.8,18.1,23.9,-,-,4,23.6,33.8
California,14.4,13.4,15.4,19.9,13.1,9.1,12.7,21.4,21.9,11,13.2,22.1,13.6,20.8,8.7,23.3,13.3,8.9,4.5,13.5,16.8,-,-,3,16.2,28.3
Colorado,12.5,11.6,13.4,16.6,11.7,8.3,11,24.3,23.7,10.4,16.3,25.2,16.3,24.4,8.5,25.6,11.7,8.4,4.1,11.6,21.5,-,-,2.5,18,26.8
Connecticut,9.5,8.5,10.4,12.6,8.9,6.6,6.8,20.4,19.8,7.8,7,28.7,14.8,24.7,5.4,21.7,9,6.4,2.8,9.2,11.3,-,-,1.3,11.7,25.3
Delaware,11.2,9.7,12.6,16.7,10.1,7,8.4,19.3,19.1,7.9,0.9,20.9,17.2,22.9,7.3,20.6,9.7,6.3,3,11,13.5,-,-,1.8,14.7,25
Florida,14.7,13.6,15.7,20.9,13.8,9.9,12.1,25.6,23.3,12,15.1,22.7,17.3,19.5,10.1,25.3,13.7,9.2,5,14,17.3,-,-,3,18.7,30
Georgia,16.5,15,17.9,22.6,14.8,11.5,11.6,24.7,23.5,11.5,26.1,34.3,18.3,30,10.4,29.3,14.7,9.6,4.1,16.1,20.2,-,-,3.2,20.4,32.1
