State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4729116,2280355,2448761,1087436,2899804,741876,3249331,1239724,24403,61251,2172,65614,86621,194090,3132328,458918,989396,968076,800031,4564369,164747,772265,3946419,1443126,688066,894974
Alaska,719983,372897,347086,182058,464732,73193,472131,22227,101158,45008,8779,9993,60687,47893,445769,35054,128311,167606,136930,664656,55327,83091,625352,234348,159574,89731
Arizona,6654096,3275200,3378896,1595183,3964261,1094652,5169694,277676,291691,209129,12220,463095,230591,2050972,3715012,586448,1065814,1505881,1278904,5759273,894823,850780,5790426,2000293,1054710,1091447
Arkansas,2890095,1410332,1479763,692539,1737393,460163,2241236,437236,18914,41569,6975,73891,70274,209473,2115730,274904,660449,572878,434555,2751251,138844,499526,2386687,893719,418287,503284
California,38242946,18897272,19345674,8978705,24211354,5052887,23197780,2165637,283596,5424139,148186,5235273,1788335,14847071,14509308,4435213,5241997,7518371,8421315,27825285,10417661,4073995,34094834,11750316,6875914,6613651
Colorado,5316870,2654885,2661985,1234118,3390838,691914,4481041,209645,48853,161458,8169,223078,184626,1131146,3658343,314567,765227,1093512,1441174,4790197,526673,563067,4731287,1872201,1000590,651550
Connecticut,3486033,1697619,1788414,752655,2179042,554336,2683192,359281,8833,151478,885,176661,105703,537612,2376879,231999,656303,602504,948613,2982552,503481,386495,3094775,1166713,645134,462325
Delaware,918100,442694,475406,200642,560941,156517,637493,197099,3282,36026,447,18151,25602,82790,581578,65926,199099,175360,201092,833005,85095,111325,804135,305355,143802,134381
Florida,19858469,9644955,10213514,4044879,11954525,3859065,15073714,3149614,54897,536922,12093,528909,502320,4944502,10910869,1718028,4080730,4295542,4078881,15789193,4069276,2667306,17150874,6117997,3053490,3255151
Georgia,9931935,4795830,5136105,2464048,6196959,1270928,5930826,3081177,29601,379132,5078,275877,230244,927124,5350775,877906,1828875,1868845,1994786,8927667,1004268,1232715,8666372,3253586,1539450,1683953
Hawaii,1383246,688458,694788,301458,848064,233724,342353,23024,2604,532027,139062,12873,331303,140348,302941,80059,266828,309826,313486,1130909,252337,153206,1202124,476144,216274,187204
