State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4682976,2258559,2424417,1109703,2912276,660997,3261198,1215913,24730,55412,1327,54362,70034,184355,3142789,513925,972333,928509,719656,4517469,165507,763652,3906137,1394142,755255,891896
Alaska,704041,363993,340048,184647,461611,57783,472094,23797,98183,38845,7834,8139,55149,41184,448486,36937,121407,165211,124274,654258,49783,76035,616109,224122,170283,87703
Arizona,6333791,3117232,3216559,1594536,3818989,920266,5028778,255639,279547,179653,11547,392765,185862,1885193,3648336,579279,1007976,1421926,1127163,5482669,851122,737645,5583971,1833801,1070763,1093765
Arkansas,2849641,1391469,1458172,697724,1736056,415861,2237044,433539,17561,36963,5630,62027,56877,188291,2120152,300478,661473,545648,387490,2718559,131082,480750,2363119,862136,454075,497122
California,36913404,18245041,18668363,9100124,23462923,4350357,23044941,2149606,276723,4935696,142870,4776449,1587119,14016628,14655221,4468731,4961218,7208621,7472026,26839103,10074301,3749535,33076887,10782156,7004863,6762192
Colorado,5002589,2492747,2509842,1212528,3220466,569595,4213170,190772,46146,138861,6233,237863,169544,1037159,3499537,317366,728152,1037852,1250221,4515064,487525,505926,4474406,1680128,1017534,653513
Connecticut,3473255,1688242,1785013,795119,2180612,497524,2716765,345154,8171,136450,1260,175744,89711,482531,2455136,251241,660010,602098,886514,2995116,478139,370730,3097897,1139882,675995,462920
Delaware,883004,425880,457124,201502,549753,131749,620471,185939,2910,30055,560,20522,22547,74220,574794,71397,189958,164625,175813,807008,75996,109431,770422,288792,154145,129339
Florida,18681565,9064404,9617161,3943240,11403318,3335007,14306601,2935995,56651,470249,10931,481510,419628,4304700,10714637,1772532,3880505,3945603,3500306,15021491,3660074,2424014,16215652,5523486,3101222,3250239
Georgia,9542869,4620163,4922706,2454929,6027595,1060345,5819409,2896607,23752,321278,4316,290100,187407,853700,5317546,916527,1770202,1750338,1759589,8610645,932224,1143037,8362860,2992717,1571281,1736188
Hawaii,1340061,667404,672657,299947,840902,199212,330212,22150,2792,518430,131976,14259,320242,123316,301525,86949,258225,298281,280443,1097632,242429,142935,1168571,451360,229686,192717
