State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4720592,2275511,2445081,1090244,2907950,722398,3257329,1234681,23310,59165,1977,60846,83284,189193,3139284,473231,987318,961206,779636,4558186,162406,774341,3936116,1425590,702168,906804
Alaska,719064,372263,346801,184156,466724,68184,473646,22905,100271,43731,8602,9476,60433,46904,447881,34888,127550,166027,134724,664530,54534,80296,627789,232865,164636,88525
Arizona,6573523,3234555,3338968,1592547,3922559,1058417,5127152,271916,289021,201155,11889,456891,215499,2001970,3706150,587727,1053104,1484889,1235907,5690078,883445,829824,5731365,1939820,1057746,1105343
Arkansas,2881404,1405992,1475412,694104,1738141,449159,2246707,438254,18165,40710,6673,66182,64713,203092,2119767,280702,662814,565501,422079,2744683,136721,490692,2386750,882111,425390,507886
California,37913144,18728227,19184917,9004598,24027673,4880873,23268980,2162989,277065,5275125,147165,5040720,1741100,14646915,14566914,4462126,5157158,7453306,8144897,27579147,10333997,4014050,33823416,11422696,6895038,6748105
Colorado,5241057,2613763,2627294,1229418,3348629,663010,4424217,207636,47630,154176,7056,221144,179198,1105420,3625038,312310,754212,1085013,1384974,4723919,517138,547752,4670874,1814367,1005433,659821
Connecticut,3479672,1693263,1786409,763850,2182409,533413,2694253,355823,8922,147564,962,170146,102002,523171,2395325,231563,655342,603423,934140,2985400,494272,381591,3093542,1158613,652990,466455
Delaware,908973,438335,470638,200766,558339,149868,631942,194214,3253,33968,440,20055,25101,80923,579553,68123,195356,172769,194653,827198,81775,112714,793781,301687,148053,130739
Florida,19514334,9470030,10044304,4000918,11783535,3729881,14859241,3096453,51335,514782,10978,498208,483337,4736746,10864934,1736650,4022346,4199084,3912755,15584573,3929761,2609491,16864804,5914965,3048883,3284645
Georgia,9829056,4747925,5081131,2461526,6150591,1216939,5908080,3034258,27972,363942,4731,274413,215660,903871,5346913,889919,1803104,1843337,1929524,8853593,975463,1218859,8577165,3159539,1539922,1726772
Hawaii,1375928,684677,691251,302617,850203,223108,339012,22926,2579,528954,140708,12215,329534,136753,303470,82324,264312,308650,303182,1126798,249130,152243,1196918,467384,222681,192316
Idaho,1604369,801079,803290,425033,950029,229307,1465635,9833,20461,21100,1895,44483,40962,190938,1332412,102580,282061,374429,274129,1508131,96238,209726,1391654,471754,306521,218235
Illinois,12548538,6135612,6412926,2947192,7881679,1719667,9077481,1758582,28752,642362,4012,745769,291580,2101481,7827787,962741,2234410,2451919,2821455,10778228,1770310,1371465,11169046,4133991,2205794,1884426
Indiana,6388926,3133157,3255769,1550099,3934773,904054,5379471,579792,15246,123408,2660,148770,139579,418980,5135927,493479,1449566,1250878,1060356,6073879,315047,877851,5508449,2061607,1125563,923337
